comentario,Agresividad,Ofensa,Ideología,Constructividad,Empatía,Diálogo,Total,Catg
"Cómo el Propio Evo, Achacollo, Lidia Pati, Reynaldo Ezequiel así de honestos o más ?",20,15,70,60,55,50,36.0,0
"Desatinada las declaraciones del candidato vicepresidencial, pero se debe reconocer que hay algunos profesionales de todos los gremios que carecen de honestidad, valores y ética.",30,25,65,55,50,50,41.25,0
"La honestidad y otros son valores, la inteligencia, la capacidad de resolver problemas y demas se adquieren estudiando.",15,10,55,70,60,60,28.0,1
Bueno!!! Llegó la hora de quemar libros!!!,80,75,60,10,10,10,80.0,-1
Eso es lo que decía Evo,60,55,75,15,15,15,71.25,-1
"Los de la reserva moral (ponchos,abarcas y pollera) resultaron ser ladrones",80,75,85,10,10,10,83.75,-1
"Ese discurso queda totalmente obsoleto en éstos tiempos, creo que la educación es lo más importante para sacar adelante a nuestro país, necesitamos gente formada con conocimientos amplios para desempeñar los cargos públicos",20,15,55,70,60,55,30.75,1
Con razon fue POLICIA,65,60,70,10,10,10,74.75,-1
TUTO PRESIDENTE TOTO TUTO TUTO PRESIDENTE🙏🙏🙏🙏🙏💪💪💪💪,10,5,75,55,50,45,34.25,0
"Escuchándolo a este tipo, vemos la importancia de la formación académica, es por eso q estamos como estamos. 🤷🏻‍♀️",20,15,50,65,55,50,32.0,1
De honestidad hablando un paco,75,70,80,10,10,10,80.75,-1
Y donde queda el esfuerzo que ponen los padres para hacer educar a sus hijos? El esfuerzo de los jovenes y señoritas por aprender y salir adelante?,15,10,55,70,60,60,28.0,1
Será que conoce este la palabra honesto,55,50,65,25,20,25,64.0,0
"Queremos un candidato bien preparado, no solo que sea buena persona",15,10,55,70,60,55,28.5,1
Tan honesto el bocón,70,65,80,10,10,10,78.5,-1
A sin profesión pero ser honesto,60,55,75,15,15,15,71.25,-1
Si fuera honesto no andaría pues con procesos judiciales,70,65,80,10,10,10,78.5,-1
De que honestidad habla este,65,60,75,10,10,10,75.5,-1
"Que paso Lara, no puedes decir eso, la educación es la base del desarrollo de la sociedad.",15,10,50,70,60,60,27.25,1
Las generalizaciones son dañinas señor,20,15,55,65,60,55,31.75,1
Opa opaaa,10,5,50,50,45,40,32.5,1
"APARTE DE SER HONESTO, POR LO MENOS TENEMOS QUE TENER INTELIGENCIA EMOCIONAL, CRITERIOS PARA EMPRENDER Y BUSCAR SOLUCIONES A TODO TIPO DE PROBLEMAS, QUE SE PRESENTEN EN BASE A EXPERIENCIAS ANTERIORES.....",15,10,55,70,60,55,28.5,1
"Que tiene éste, esta enfermo!!! Necesita tratamiento urgente!!!",75,70,80,10,10,10,80.75,-1
"Para que funcione, necesita ir acompañada de instituciones sólidas, justicia efectiva y oportunidades reales de movilidad social.",15,10,55,70,60,55,28.5,1
"Sigue la novela, no soy profesional pero me siento un profesional el mismo argumento que los izquierdistas lamentable.",60,55,75,20,15,20,69.75,-1
Plan de gobierno q presente para saber,10,5,55,65,60,50,27.75,1
"Pero... Acaso es honesto legalizar los autos chutos, siendo un negocio de las mafias de chuteros.",70,65,80,15,10,10,77.5,-1
Ingnorancia. Vs. Educación,60,55,70,20,15,20,69.0,-1
Jajaja jaja,40,35,50,10,10,10,60.5,0
La honestidad a diferencia de la inteligencia es algo que no se puede calificar.,15,10,55,70,60,55,28.5,1
"Que la honestidad salve a los enfermos de los hospitales🙂🙂 q gente sin preparación entre a un quirófano a operar solo xq es honesto, o q haga una quimioterapia o hemodiálisis x ser honesto 🙂🙂 otitis crónica causa cada q se lo escucha a este señor 😒😒",75,70,80,10,10,10,80.75,-1
Policías honestos dónde hay,65,60,75,15,15,15,73.5,-1
Pues deberías ser honesto entonces 🤷,20,15,55,60,55,50,33.75,0
TUTO PRESIDENTE! 🇧🇴,10,5,75,55,50,45,34.25,0
"Estudiar es muy importante, dejá de defender tu ignorancia",65,60,75,15,15,15,73.5,-1
Opa hay que ser!!,15,10,55,60,55,50,31.5,1
Líbranos de todo mal Señor!!!,10,5,50,60,55,50,28.5,1
"Es necesario ser una persona capacitada para llevar adelante un país, no me quiero imaginar la cara que estos pueden mostrar en conferencia internacional.",15,10,55,70,60,55,28.5,1
Que opa,10,5,50,50,45,40,32.5,1
Terrible este hombre,60,55,75,10,10,10,73.25,-1
Basta de este tipo!!🙌🏽,65,60,80,10,10,10,76.25,-1
"Con razon los policías escriben cajon con g... Que horror que cualquiera se pueda postular, deberia haber un filtro, filtro académico y valores, por que este tipo no representa a la gente que lucha, estudia y se esfuerza por crecer.",20,15,55,70,60,55,30.75,1
Pobrecito por lo menos en administración y saber multiplicar y dividir es importante aparte de ser honesto porq sino saben de números te engañan y te roban,20,15,50,65,60,55,31.0,1
No puedo creer que haya gente que votará por este tipo,65,60,75,10,10,10,75.5,-1
Basa perder edman lara,60,55,70,10,10,10,72.5,-1
Que tanta cobertura le dan los periodistas. Lo único que están haciendo es que crezca su popularidad. Dejen que hable y no le den cobertura utilicen psicología los periodistas.,25,20,55,60,50,50,36.5,0
"Ajá por eso cuando eras paco extorsionabas a la gente “honesto” , qué hubiera pasado si no le daban de baja en la policía haya continuado con su “honestidad”, cara dura !",75,70,80,10,10,10,80.75,-1
Y no estar 😵‍💫,20,15,50,50,45,40,37.0,0
Tener títulos y ser honesto son cualidades muy importantes .. lo que no tiene ninguno de usted…LARY,15,10,55,70,60,55,28.5,1
Ni candidato deberia ser este individuo solo quiere poder pero sus fines personales.,65,60,80,10,10,10,76.25,-1
"Por honesto lo dieron de baja, que ironía",70,65,80,10,10,10,78.5,-1
"La honestidad no basta además se necesita estar educado o instruido. Una persona honesta no instruida es cruel, ofensiva, generadora de conflictos.",20,15,55,70,60,55,30.75,1
"Mielda entonces, para que no sacamos la mielda, que gobiernen los burros entonces.",75,70,85,10,10,10,81.5,-1
