comentario,Agresividad,Ofensa,Ideología,Constructividad,Empatía,Diálogo,Total,Catg
Lo mismo decía Evo,15,10,75,10,10,10,53.0,0
"Cómo buen socialista solo promesas,llegado el momento colas,escases,represión,drogas ,etc",70,65,85,10,10,10,79.25,-1
yo estoy firme con tuto porque es el unico con propuesta y rumbo 🤝,10,5,80,60,55,50,33.0,1
Ahora vamos con Tuto😏🇧🇴🇧🇴🇧🇴📈✅️,10,5,80,55,50,50,34.5,0
El problema es que cuando se le pregunta de dónde va a salir la plata Cómo la va a hacer no sabe el tipo entonces prometer por prometer por prometer y solamente el tonto El imbécil cree eso,65,60,75,10,10,10,75.5,-1
Gobernar con discursos falsos ofreciendo lo que jamás podra cumplir... Que clase de gobierno es ése que está ofreciendo?,65,60,75,10,10,10,75.5,-1
EL MAS decía lo mismo....,10,5,75,10,10,10,50.75,0
"Gobernar con la ideología de la confrontación y agresión? No, paso",15,10,70,10,10,10,52.25,0
Y siguen mintiendo a la gente estos masistas,65,60,85,10,10,10,77.0,-1
"Cuál empleo, bonos y bonos prometes, como eres de izquierda lo más seguro es que causaras el último gran despilfarro",70,65,85,10,10,10,79.25,-1
Populismo y demagogos,60,55,80,10,10,10,74.0,-1
Pero si su plan de gobierno es puros bonos...,60,55,80,10,10,10,74.0,-1
"Y con que ideas ha de trabajar este señor, sus planteamientos sobre que base teórica las va a realizar. Es un simplón improvisado y nada MAS.",65,60,80,10,10,10,76.25,-1
"Nada que ver ideología con trabajo, para mí ideología es utopía.",10,5,75,50,45,40,36.25,0
"Cuando a su pueblo de Tarija le robó recursos,con sobreprecios del puente y el obelisco, que sería con muestro país.",70,65,85,10,10,10,79.25,-1
Discurso del populista..,60,55,80,10,10,10,74.0,-1
Dejá de saquear a la gente recibiendo regalitos.,70,65,85,10,10,10,79.25,-1
Tuto presidente,10,5,80,55,50,50,34.5,0
"Habla de trabajo y este Sr . Ya no trabaja , solo se está dedicando a política ; no es que tiene un cargo en el País?",60,55,75,10,10,10,73.25,-1
"Decir que se gobernará “sin ideología” es en sí mismo una posición ideológica. Todo gobierno toma decisiones basadas en una visión del hombre, de la sociedad y del Estado. Por lo tanto, quien reniega de la ideología suele terminar aplicando otra (populista, estatista o autoritaria), pero disfrazada de “pragmatismo”.",15,10,70,50,45,40,37.75,0
Y el puente de TARIJA por que no hisiste,60,55,75,10,10,10,73.25,-1
Queremos la carretera al Chaco.. estámos postergados todos estos años.. por culpa de los políticos Dinosaurios especialmente del Chaco sólo se beneficiaron los mismos.. por eso ahora Rodrigo Paz 🇧🇴 presidente!,60,55,75,10,10,10,73.25,-1
"Estos dos, Rodrigo Paz y Edman Lara pudieron ser la renovación o una nueva opción pero la fregaron enteringa al abrirle las.puertas de par en par al MAS en sus filas por eso es la desconfianza ahora en la actualidad",65,60,80,10,10,10,76.25,-1
Improvisador,60,55,75,10,10,10,73.25,-1
Paz vaya y rinda cuentas de su gestión en la Alcaldía de Tarija referente al mástil y al puente y así recuperará su credibilidad,15,10,55,60,55,50,31.5,1
"Mintiendo y engañando a las personas, Claro que si 😊",65,60,75,10,10,10,75.5,-1
Que mrd ese gallo no pudo hacerc una paj.. Nos suelta su engendro a robar bolivia con sus bonos bonos,70,65,85,10,10,10,79.25,-1
Bonito habla pero ya sabemos a quien obedece,60,55,75,10,10,10,73.25,-1
Lo que tenes que ofrecer es trabajo y no bonos,10,5,75,50,50,45,35.25,0
Más de lo mismo,10,5,70,50,50,45,34.5,0
Y especialmente no deben ser profesionales!,15,10,60,50,45,40,36.25,0
Que miedo con Lara,10,5,70,50,50,45,34.5,0
Mismo discurso de evo,15,10,75,10,10,10,53.0,0
Español socialista,60,55,80,10,10,10,74.0,-1
Entonces bajese y que el pueblo gobierne sin presidentes sin nada de esa corrupcion interesante. los Gobiernos perjudican la inversio privada y solo viven del pueblo.,60,55,80,10,10,10,74.0,-1
Puro demagogia...ellos quieren gobernar igual que los masistas- comunistas...o sea más crisis económica y social...no les importa el sufrimiento del pueblo...sólo el poder a cualquier precio....,70,65,85,10,10,10,79.25,-1
Este es un masista más con sus discurso falsos ofreciendo para no cumplir a al pueblo estos dos Masistas Rodrigo Paz y Lara,70,65,85,10,10,10,79.25,-1
Apoyo del más a cambio de impunidad...,65,60,80,10,10,10,76.25,-1
Vago y demagogo,70,65,85,10,10,10,79.25,-1
Primero dice una cosa y después otra que sinvergüenza que vive del estado y no va a trabajar este flojo,70,65,85,10,10,10,79.25,-1
Tuto presidente,10,5,80,55,50,50,34.5,0
