85,70,80,10,5,15
80,75,85,5,5,10
70,60,75,20,15,25
60,55,70,30,25,35
90,85,90,5,0,5
85,80,85,10,5,10
75,70,80,15,10,20
80,75,85,10,5,10
65,60,75,25,20,30
70,65,80,20,15,25
50,45,60,40,35,45
55,50,65,35,30,40
80,75,85,10,5,10
80,75,85,10,5,10
70,65,80,20,15,25
75,70,85,15,10,20
80,75,85,10,5,10
90,85,90,5,0,5
85,80,85,10,5,10
90,85,90,5,0,5
80,75,85,10,5,10
85,80,85,10,5,10
75,70,80,15,10,20
80,75,85,10,5,10
70,65,80,20,15,25
85,80,85,10,5,10
80,75,85,10,5,10
75,70,80,15,10,20
80,75,85,10,5,10
85,80,85,10,5,10
70,65,80,20,15,25
75,70,85,15,10,20
80,75,85,10,5,10
85,80,85,10,5,10
90,85,90,5,0,5
80,75,85,10,5,10
75,70,80,15,10,20
70,65,80,20,15,25
85,80,85,10,5,10
80,75,85,10,5,10
75,70,80,15,10,20
80,75,85,10,5,10
85,80,85,10,5,10
70,65,80,20,15,25
75,70,85,15,10,20
80,75,85,10,5,10
85,80,85,10,5,10
90,85,90,5,0,5
80,75,85,10,5,10
75,70,80,15,10,20
70,65,80,20,15,25
85,80,85,10,5,10
80,75,85,10,5,10
75,70,80,15,10,20
80,75,85,10,5,10
85,80,85,10,5,10
70,65,80,20,15,25
75,70,85,15,10,20
80,75,85,10,5,10
85,80,85,10,5,10
90,85,90,5,0,5
80,75,85,10,5,10
75,70,80,15,10,20
70,65,80,20,15,25
85,80,85,10,5,10
80,75,85,10,5,10
75,70,80,15,10,20
80,75,85,10,5,10
85,80,85,10,5,10
70,65,80,20,15,25
75,70,85,15,10,20
80,75,85,10,5,10
85,80,85,10,5,10
90,85,90,5,0,5
80,75,85,10,5,10
75,70,80,15,10,20
70,65,80,20,15,25
85,80,85,10,5,10
80,75,85,10,5,10
75,70,80,15,10,20
80,75,85,10,5,10
85,80,85,10,5,10
70,65,80,20,15,25
75,70,85,15,10,20
80,75,85,10,5,10
85,80,85,10,5,10
90,85,90,5,0,5
80,75,85,10,5,10
75,70,80,15,10,20
70,65,80,20,15,25
85,80,85,10,5,10
80,75,85,10,5,10
75,70,80,15,10,20
80,75,85,10,5,10
85,80,85,10,5,10
70,65,80,20,15,25
75,70,85,15,10,20
80,75,85,10,5,10
