comentario,Agresividad,Ofensa,Ideología,Constructividad,Empatía,Diálogo,Total,Catg
Soy colla paceño y JP me representa,10,5,65,70,75,65,25.25,1
Está muy desesperado,25,20,55,40,45,35,42.5,0
Tuto presidente ❤️💛💚aunque les duela brutos de 💩🤮,75,80,70,15,10,20,79.25,-1
En tarija hay tanto racismo y no hizo nada,35,30,60,45,40,35,47.25,0
La verdad ya hasta me causa repudio escucharlo hablar...,60,55,65,25,20,15,67.25,-1
PDC MAS DE LO MISMO.,45,40,70,30,25,20,59.25,0
Masistas ya no queremos masistas....PAZ Y LARA SON MAS DE LO MISMO 💩💩💩,80,85,75,10,5,10,84.75,-1
PAZ Y LARA 💪🏿,15,10,70,60,65,55,32.25,1
"El español, ni siquiera nacido en Bolivia, paz , que discurso más barato",65,70,60,20,15,10,72.75,-1
"Racismo ?, discriminacion ?, volvimos al 2020 cuando Evo usaba el mismo discurso para llegar a la presidencia, el PDC=MAS la misma miérd, los mismos discursos y la misma gente, que desgracia para el país volver a revivir lo mismo.",70,75,80,25,20,15,76.0,-1
Paz alias el cantinflas ya entro en el juego sucio...,55,60,65,25,20,15,67.0,-1
Mas insostenible mientras los politicos estan q dijo no dijo q hizo no hizo hasta cuando debemos soportar esta situacion....,50,45,60,35,30,25,58.0,0
Paz y Lara Mucha fuerza,10,5,65,70,75,65,25.25,1
Solo eso pueden hacer para Bolivia balbucear ya perdieron x tantas mentiras,60,65,70,20,15,10,72.0,-1
"Los que más prometen unión son los peores. Provocan más separación entre collas y cambas, entre el campo y la ciudad. Ya hemos pasado eso, no se acuerdan? Con el MAS era lo mismo.",55,50,75,40,35,30,60.5,0
Y CUANDO VA PARA TARIJA,20,15,55,45,40,35,39.75,0
Para presentar su plan de trabajo que consiste en la venta de chicles y toda clase de dulce.,45,40,60,30,25,20,57.75,0
"Nadie los quiere en Cochabamba, esta mañana estaban con su cara dura en la libertador Juan de la Rosa los masistas del PDC y la gente los abucheaba al pasar, ya sabemos que PDC significa Proceso De Cambio = MASISMO",65,70,75,20,15,10,75.0,-1
No a los chicles,25,20,60,40,35,30,44.75,0
No al narco,20,15,65,45,40,35,41.25,0
Pura. Mentira,35,30,55,30,25,20,52.5,0
Y mientras el pasea...quien ocupa su lugar de trabajo?,40,35,55,35,30,25,52.75,0
"Ufff ya empezó lo del racismo y la discriminación Discurso evista. Un Ejemplo mi papa y mama son bien campesinos de esos que comen papa,chuño, mote comida de dioses dicen ello. Trabajaron durisimo muy pocas veces los vi desperdiciando dinero, en la vida hay que tener metas decian. Me siento orgullosa de ellos porque son bien campesinos nunca se sintieron menos nunca buscaron pegas políticas alguna vez apoyaron a un partido sin interés alguno sino con la esperanza de ver un cambio para el pais. El racismo solo esta en las personas que buscan una excusa para sacar provecho.",30,25,70,65,70,60,37.0,0
Tuto presidente 🤨👍🏼,15,10,70,60,65,55,32.25,1
Este medio red uno ya sabemos q es parcial con el mas,40,35,65,35,30,25,54.25,0
Que irónico de los opas ir a a una universidad,50,55,60,25,20,15,64.0,0
Su único discurso el racismo,35,30,65,35,30,25,52.0,0
Tuto presidente ❤️,10,5,70,65,70,60,28.0,1
"LOS QUE ODIAN A LOS PROFESIONALES YENDO A UNIVERSIDADES ,CON QUE FIN A DECIRLES QUE NO ESTUDIEN???",55,60,65,25,20,15,67.0,-1
TUTO PRESIDENTE 🇧🇴 👍,10,5,70,65,70,60,28.0,1
Puro masista,40,35,70,30,25,20,57.0,0
No a las historietas de chicles,25,20,60,40,35,30,44.75,0
Y para que va a las universidades si los profesionales son corruptos esta yendo a ver cuales se va a expropiar para hacer lugares de venta de chicles,55,60,65,25,20,15,67.0,-1
"Igual que su padre,se ocupó de saquear al país",65,70,60,20,15,10,72.75,-1
Que vaya a terminar sus puentes en tarija,35,30,55,40,35,30,48.5,0
Charlatan a toda maquina. Subestima a lls Bolivianos. Si gana. Es preocupante la situación económica. Esta perdido..,50,45,60,35,30,25,58.0,0
Que se puede esperar de los corruptos,45,40,65,30,25,20,58.5,0
Tuto presidente,10,5,70,65,70,60,28.0,1
Cuidar el voto,15,10,60,55,60,50,32.75,1
El chicles en Cochabamba,25,20,60,40,35,30,44.75,0
Este sujeto usa la palabra racismo igual que el pedofilo solo siembra odio,70,75,65,15,10,5,77.75,-1
PARASITO..... GANA DINERO DEL ESTADO SIN TRABAJAR,65,70,60,20,15,10,72.75,-1
Que racismo obra de los maléficos de paz y lara,55,60,65,25,20,15,67.0,-1
Y este partido PDC son Masistas camuflados corruptos.,60,65,70,20,15,10,72.0,-1
"Este imbecil ya no sabe más que decir.los únicos que discriminan y siembran odio, envidia y racismo son los zurdos.",75,80,70,15,10,5,80.75,-1
Tuto presidente de bolivia 🇧🇴🇧🇴🇧🇴🇧🇴🇧🇴🇧🇴,10,5,70,65,70,60,28.0,1
Muy bien Rodrigo paz presidente porque el país necesita una persona que gobierne para todos,15,10,65,70,75,65,27.5,1
Demagogo incapaz,45,40,60,25,20,15,59.75,0
🫏🫏🫏 de 💩💩🤡🤡🦙🦙🦙💩🤮🤮🤮🤮,80,85,70,10,5,5,84.5,-1
"En vez de hablar de propuestas y de un plan de gobierno, necesita buscarse un enemigo, clásico discurso populista de sembrar odio al mero estilo comunista Linera. 🤡",60,65,75,30,25,20,68.75,-1
Tuto Presidente,10,5,70,65,70,60,28.0,1
La unidad Rodrigo presidente ♥️💛💚,15,10,65,70,75,65,27.5,1
Tuto presidente,10,5,70,65,70,60,28.0,1
Paz charlatán,40,35,60,30,25,20,55.5,0
TUTO PRESIDENTE,10,5,70,65,70,60,28.0,1
"No al masismo, el mismo discurso de evaristo mamani, no tiene propuesta pura falacia, demagogia y populista , no queremos comunismo tampoco socialismo viva Bolivia libre!!!",55,60,75,35,30,25,64.5,0
Vamos Rodrigo siiiiii la gente umilde trabajador honesto dicno Cochabambinos te espera seas un ejemplo carajo !!!!!,20,15,65,70,75,65,29.75,1
No te queremos,35,30,60,30,25,20,53.25,0
TUTO PRESIDENTE 🇧🇴🇧🇴🇧🇴,10,5,70,65,70,60,28.0,1
Seguro fue a promocionar su emprendimiento de chicles,35,30,60,35,30,25,51.25,0
Quiero chicle!!!!,20,15,55,45,40,35,39.75,0
"Tuto y Juan Pablo Velasco deben ganar las elecciones no hay otra alternativa!!! Personas con mucha educación , cultura y bastante experiencia!! Tuto Lo demostró con hechos salvo a Bolivia 🇧🇴🇧🇴🇧🇴🇧🇴🇧🇴🇧🇴🇧🇴🇧🇴🇧🇴🇧🇴🇧🇴🇧🇴🇧🇴🇧🇴 una vez de la deuda externa que dejaron otros gobiernos, etc…",15,10,70,75,80,70,26.25,1
Tuto Presidente,10,5,70,65,70,60,28.0,1
Intensas reuniones en el Chapare! 🧐,25,20,65,40,35,30,45.5,0
ES TEATRO LO. QUE HACE RODRIGO. SU ACOMPAÑANTE LARA DIJO QUE PREFIERE GENTE SIN ESTUDIOS PARA GOBERNAR TRANQUILO,50,55,65,30,25,20,62.75,0
Tuto presidente,10,5,70,65,70,60,28.0,1
Para estupideces..lo único que buscan es el enfrentamiento..estos masistas ...amarra watos,60,65,70,20,15,10,72.0,-1
Rodrigo paz presidente LARA. VICE presidente,15,10,65,70,75,65,27.5,1
Lacra,45,40,60,25,20,15,59.75,0
DA ASC VERLO AL GALLO 🐓 VEND Y AL BOCOTAS LARI,55,60,65,25,20,15,67.0,-1
Noo al PDC línea de zurdos.,40,35,70,30,25,20,57.0,0
Cero propuesta !!,35,30,55,30,25,20,52.5,0
A quien le interesa este demagogo que no sabe ni responder a los periodistas no tienen un buen plan para salvar Bolivia solo improvisaciones y quiere gobernar con su partido socialista,55,60,70,30,25,20,65.75,0
"Todo lo que habla este tipo es mentira, como lo del chicle",45,40,60,30,25,20,57.75,0
Codigo revista no al racismo y después niegan haber pactado?,40,35,65,35,30,25,54.25,0
"Mismo tipo de actuar del azulino mayor,hacerse el víctima y llorar.",50,55,65,25,20,15,64.75,0
"Lo que hace Rodrigo es guerra sucia, sabiendo que ese Twitter es falso, mi voto será por el mejor Tuto presidente, aunque el Twitter sea verdad.",35,30,70,50,45,40,46.75,0
Él Racismo lo ase tu Binomió .,40,35,65,35,30,25,54.25,0
Llegó Evo,20,15,70,45,40,35,42.0,0
Allá ellos,25,20,55,40,35,30,44.0,0
"No al racismo no a la división, NO AL MENSAJE DEL PINOCHO PAZ Y NO A SUS CHICLES",45,40,65,35,30,25,56.5,0
"Desde que empezaron su campaña estos laras nunca me agrado , no tienen un contenido bien estipulado , solo se dedican a inventarse ciertas expresiones la ucla luego se lo hechan al vecino diciendo que yo no fui . Osea estos sres, son realmente más masistas que masistas",50,45,70,35,30,25,59.5,0
Tarija nadie lo quiere por flojo,40,35,60,30,25,20,55.5,0
Tuto Presidente,10,5,70,65,70,60,28.0,1
Así empezó Evo,25,20,70,40,35,30,46.25,0
No ira por terror,35,30,60,35,30,25,51.25,0
Rodrigo Mas = otro tilin,40,35,65,30,25,20,56.25,0
Y los Chicles?,20,15,55,45,40,35,39.75,0
Rodrigo presidente,15,10,65,70,75,65,27.5,1
Tuto presidente,10,5,70,65,70,60,28.0,1
como dice eso cuando antes dijo prefiero a la gente sin estudios jajjajaja,40,35,65,35,30,25,54.25,0
"Siempre destilando veneno, sembrar p cosechar odio",60,65,65,20,15,10,71.25,-1
Todo cochabamba es masista,30,25,70,35,30,25,50.5,0
"Un camba no le puede decir 11ac0 a ellos, pero ellos si pueden decir Camba, pisotear y quemar la bandera Cruceña y no es racismo. Entonces de qué racismo hablan? Del que le convienen a los masistas o qué?",50,45,75,45,40,35,56.25,0
No a los que roban como Rodrigo en su propio pueblo Tarija corrupto cobras sin trabajar plata de los Bolivianos simberguenza,65,70,60,20,15,10,72.75,-1
Que ba ganar con eso ba comer,35,30,55,35,30,25,50.5,0
Vayanse ala mierd i son loz primero en ser razista esto comunista flojonasos,75,80,70,15,10,5,80.75,-1
"Primero q deje de repartir chicles y hablé de manera coherente, pero q sea claro en sus propuestas",35,30,60,50,45,40,45.25,0
Tuto Presidente.,10,5,70,65,70,60,28.0,1
