comentario,Agresividad,Ofensa,Ideología,Constructividad,Empatía,Diálogo,Total,Catg
Tuto Presidente,15,10,75,60,55,45,35.0,0.0
No necesitamos demagogia. Necesitamos propuestas concretas. Solo Tuto tiene un programa de gobierno.,30,25,80,55,45,50,44.0,0.0
No hay dónde perderse es Tuto la solución.… Ver más,25,20,85,50,40,45,44.5,0.0
Osea que Rodrigo está en las nubes igual q tilin,45,40,75,30,25,35,58.5,0.0
Tuto tuto tuto y punto,20,15,80,45,35,40,43.5,0.0
No tienen memoria o saben o no vivieron son jovenes,40,35,80,35,30,35,55.5,0.0
Todo claro con Tuto sin titubeos,25,20,85,50,40,45,44.5,0.0
"El Tuto ya goberno nuestro país dejando en miseria y pobreza igual que su socio Evo y Arce, nomás dinosaurios abuelos de la po… Ver más",60,65,85,20,15,25,72.75,-1.0
"O cambiamos y formamos una nueva Bolivia, o solo utilizamos medidas cosméticas como decía Victo Paz, o lo cual no solucionare… Ver más",35,30,80,45,40,45,49.25,0.0
Entonces Paz porque fue al imperio,45,40,75,30,25,35,58.5,0.0
"La única opción real, en este momento, es Tuto, aunque no les guste algunos indecisos, Tuto tiene la capacidad de sacar a boli… Ver más",30,25,85,50,45,45,46.25,0.0
QUE SABE DE ECONOMÍA RODRIGO= EVO… Ver más,50,55,80,25,20,30,65.5,0.0
Tuto presidente de Bolivia es la solución .El dúo Paz Lara está con este Gobierno de turno que nos llevó a la crisis total e… Ver más,35,30,85,45,40,45,50.0,0.0
Tuto presidente,15,10,75,60,55,45,35.0,0.0
Tuto presidente,15,10,75,60,55,45,35.0,0.0
Tuto presidente,15,10,75,60,55,45,35.0,0.0
Tuto presidente,15,10,75,60,55,45,35.0,0.0
TUTO sabe mucho más q Lara y rodrigo,35,30,80,40,35,40,51.25,0.0
TUTO TIENE PROPUESTAS CONCRETAS,25,20,85,55,45,50,42.5,0.0
TUTO PRESIDENTE,15,10,75,60,55,45,35.0,0.0
Tuto presidente,15,10,75,60,55,45,35.0,0.0
Tuto presidente,15,10,75,60,55,45,35.0,0.0
TUTO PRESIDENTE,15,10,75,60,55,45,35.0,0.0
Fuerza Rodrigo paz presidente 💪🏼💪🏼💪🏼🇧🇴🇧🇴🇧🇴✅,20,15,65,55,50,40,37.75,0.0
TUTO PRESIDENTE👌,15,10,75,60,55,45,35.0,0.0
TUTO PRESIDENTE,15,10,75,60,55,45,35.0,0.0
Rodrigo ysu acompañante no tienen buenas propuestas no saben de gobernavilidad,40,35,75,35,30,35,54.75,0.0
Y ahora tomamos conciencia y es nomás TUTO la única opción,30,25,85,45,40,45,47.75,0.0
Tuto presidente,15,10,75,60,55,45,35.0,0.0
Tuto presidente,15,10,75,60,55,45,35.0,0.0
Tuto es de estados unidos 🇱🇷🇱🇷🇱🇷🇱🇷👈🏼👈🏼eso es el tuto,50,55,80,25,20,30,65.5,0.0
Es con TUTO no hay otra alternativa,25,20,85,50,40,45,44.5,0.0
Tuto presidente,15,10,75,60,55,45,35.0,0.0
TUTO PRESIDENTE 🇧🇴🇧🇴🇧🇴,15,10,75,60,55,45,35.0,0.0
Tuto el mejor mas inteligente,25,20,80,45,40,40,45.25,0.0
Cualquiera que entre va tener que Givernar con las 4 fuersas,30,25,75,40,35,40,48.25,0.0
Tuto presidente 🇧🇴 💪,15,10,75,60,55,45,35.0,0.0
No se olvide de mencionar que entre las propuestas de Rodrigo están los bonos y la legalización de autos chutos,40,35,75,35,30,35,54.75,0.0
El kiko ya goberno quebro nuestro pais no hiso nada por Bolivia solo busca robar eso no vamos a permitir Rdrigo y Lara presidente,60,65,80,20,15,25,72.0,-1.0
TUTITO YA FUE PRESIDENTE POR REEMPLAZO Y FORMO PARTE DEL GOBIERNO CORRUPTO DE YANIÑE AÑES DONDE ROBARON EN PLENA PANDEMIA Y TU… Ver más,65,70,85,15,10,20,77.0,-1.0
TúTO PRESIDENTE 🇧🇴🇧🇴🇧🇴🇧🇴🇧🇴🇧🇴🇧🇴,15,10,75,60,55,45,35.0,0.0
Tuto presidente,15,10,75,60,55,45,35.0,0.0
Tuto se copio de PAZ por qué el nunca hablo de la economía mucho menos de el 50 50,45,40,80,30,25,35,59.25,0.0
Aga loque aga no entrara tuto o kiko no y no va ganar perdera y perdera,50,55,75,25,20,30,64.75,0.0
El lo único q sabe privatizar bolivia vender bolivia a eso viene cada q campaña de política,55,60,80,25,20,30,67.75,-1.0
"Es incapaz de Rodrigo, al igual que sus padrinos del más, plantea la redistribución de la riqueza ; tan rica que esta Bolivia,… Ver más",50,45,85,30,25,35,62.25,0.0
"Tuto con su programa de robar,insultar y a nuestros adultos mayores ignorar por eso votaré por PDC",55,60,80,25,20,30,67.75,-1.0
Senador Rodrigo Paz es un charlatán!,45,50,75,30,25,35,60.5,0.0
Catacora Arce ustedes son comunistas usted no viajo usted sé jue a … Ver más,55,60,85,25,20,30,68.5,-1.0
"Están engañando al país con bonos falsos, casas de 2 piso… Ver más",50,55,80,30,25,35,63.5,0.0
"CON TUTO, SALDREMOS ADELANTE, SIN TUTO...NOS HUNDIREMOS MAS.",35,30,85,45,40,45,50.0,0.0
El tilín Rodrigo no fue hacer gestión se fue de parranda,45,40,75,30,25,35,58.5,0.0
Paz presidente 2025 2030,15,10,65,60,55,45,33.5,0.0
Tuto fuera es otro bajo a la gente engañando habla vaya a vivir donde vivías a EEUU,55,60,80,25,20,30,67.75,-1.0
TUTO PRESIDENTE 🇧🇴🇧🇴👍👍,15,10,75,60,55,45,35.0,0.0
"Puede ser una imagen de 1 persona y texto que dice ""AW Scal SERVI CIOS SESPECIALIZADOS AUDIENCIAS Lara instó en TikTok a difundir mensajes que resalten el pasado político de Tuto Quiroga para influir en el voto: ""TODA LA GENTE, NO NECESITA ATACAR A τυT QUIROGA, SOLAMENTE HAGAN VIDEOS RECORDÁNDOLE QUIÉN FUE τυτO QUIROGA Y QUÉ HIZO POR BOLIVIA. HÁBLENLE DE TODAS LAS COSAS QUE HIZO τυτo QUIROGA Y LA GENTE JOVEN QUE NO LO CONOCE SE VAA DAR CUENTA."" Candidato vicepresidencial del PDC, Edmand Lara f sericieienedecneru""",35,30,80,40,35,40,51.25,0.0
