comentario,Agresividad,Ofensa,Ideología,Constructividad,Empatía,Diálogo,Total,Catg
"El que no sabe, no debate.",85.0,80.0,85.0,5.0,0.0,5.0,88.5,-1.0
Cuando el candidato tiene propuestas no está poniendo condiciones..,75.0,70.0,80.0,15.0,10.0,20.0,78.75,-1.0
"Empezaron los masistas 2.0 así empiezan, después van a querer cambiar las leyes a su conveniencia",80.0,75.0,85.0,10.0,5.0,10.0,84.25,-1.0
Especial mente Cecilia Bellido pongan otra persona,70.0,65.0,75.0,20.0,15.0,25.0,73.75,-1.0
"Es lo último, querer condicionar al Comité Electoral, este desequilibrado es un peligro para Bolivia.",75.0,70.0,80.0,15.0,10.0,20.0,78.75,-1.0
"Quien es capaz se defiende en cualquier campo, no poniendo excusas si no quiere ir que no vaya pues.",80.0,75.0,85.0,10.0,5.0,10.0,84.25,-1.0
Carajo bravo eses incapaces cada eleciones y no hacen preguntas serteras y concretas sus propuestas y ivaden desimulan estos supuesto periodistas favoreciendo a uno habiendo tantos profecionales mucho mejor,85.0,80.0,85.0,10.0,5.0,10.0,86.5,-1.0
Es verdad estos moderadores lo único que hacen es atacar porque ya tienen sus papeletas escritas,90.0,85.0,90.0,5.0,0.0,5.0,91.5,-1.0
Gallina a niveles sobrepasado del larievo,80.0,75.0,85.0,10.0,5.0,10.0,84.25,-1.0
Eres el mejor Lara le dijiste las cosas que son verdades,75.0,70.0,80.0,15.0,10.0,20.0,78.75,-1.0
Los OPAS no saben debatir,70.0,65.0,80.0,20.0,15.0,25.0,74.5,-1.0
"Debería ser obligatorio, para ver q proponen y q decida el pueblo, caso contrario q el voto no sea obligatorio",85.0,80.0,85.0,10.0,5.0,10.0,86.5,-1.0
TUTO PRESIDENTE,80.0,75.0,85.0,10.0,5.0,10.0,84.25,-1.0
Esta con miedo el policia,75.0,70.0,80.0,15.0,10.0,20.0,78.75,-1.0
Ya obedeció el TSE😁😁,80.0,75.0,85.0,10.0,5.0,10.0,84.25,-1.0
"Cambien de candidato, más mejor. Jiji 😂😂😸",85.0,80.0,85.0,10.0,5.0,10.0,86.5,-1.0
Loco incapas,70.0,65.0,80.0,20.0,15.0,25.0,74.5,-1.0
PAZ Y LARA 💪🏿,75.0,70.0,85.0,15.0,10.0,20.0,79.5,-1.0
"Quienes son ellos para condicionar a uno de los poderes del estado deben desde un inicio respetar la independencia de poderes y la autoridad que tienen no puede un poder del estado estar a su criterio de un partido político eso ya pasó hace 20 años con el más y si así está empezando el partido político de Paz ya me imagino como será estos 5 años muy mal pensé que eran representantes políticos con principios y valores y con un proyecto de respeto a la independencia de poderes, crei que darían el ejemplo al socialismo pero ahora son peor que ellos una gran decepción total",80.0,75.0,85.0,10.0,5.0,10.0,84.25,-1.0
"Y el tribunal va y le cumple los caprichos, no hay duda hay fraude dentro del tribunal a favor de estos candidatos, qué no sanciona a lara por no firmar el acuerdo",85.0,80.0,85.0,10.0,5.0,10.0,86.5,-1.0
"Solo falta que le pasen las preguntas y respuestas del debate, tahichi cumpliendo los caprichos de su evo digo lara",90.0,85.0,90.0,5.0,0.0,5.0,91.5,-1.0
"Que Paco e💩más mañoso, lo repito el Paco nunca dejará de ser Paco",80.0,75.0,85.0,10.0,5.0,10.0,84.25,-1.0
Q tipo más irresponsable es porq no tiene nada cn decir es un ignorante,75.0,70.0,80.0,15.0,10.0,20.0,78.75,-1.0
"Que no vaya puej. Es una perdida de tiempo escucharlo a este descerebrado. Que vaya a debatir con los renacuajos, que tienen el mismo intelecto que él.",70.0,65.0,80.0,20.0,15.0,25.0,74.5,-1.0
Este tipo ya se pasa....c.... !.. no está listo pero si para condicionar.....sin pelota quiere jugar,85.0,80.0,85.0,10.0,5.0,10.0,86.5,-1.0
Ese Lara al estilo masista está exigiendo sus condiciones ya no más masistas arruinaron el país,80.0,75.0,85.0,10.0,5.0,10.0,84.25,-1.0
El ex capitán Lara se hace la burla de toda Bolivia! No es la primera vez que no cumple lo que dice!,75.0,70.0,80.0,15.0,10.0,20.0,78.75,-1.0
"Que no vaya, que nos puede explicar, este lo único que sabes es extorsionar, odiar, este si es racista.",80.0,75.0,85.0,10.0,5.0,10.0,84.25,-1.0
Que no baya es incapaz por eso pone las excusas,85.0,80.0,85.0,10.0,5.0,10.0,86.5,-1.0
"Para que vean como nos gobernaran estos si salen presidente, con caprichos sin programa, POBRE MI BOLIVIA",70.0,65.0,80.0,20.0,15.0,25.0,74.5,-1.0
Saquen sus conclusiones,75.0,70.0,85.0,15.0,10.0,20.0,79.5,-1.0
Asi no ma son los mediocres ese quiere que gobierne masista declarado lara,80.0,75.0,85.0,10.0,5.0,10.0,84.25,-1.0
Es Lelo el pobre,85.0,80.0,85.0,10.0,5.0,10.0,86.5,-1.0
"Este paquito queriendo ser político no puede condicionar nada si quiere participa y si no bueno ahí lo deja, que propuesta va a llevar lo de los chicles de Rodrigo los bonos, los chutos o los boliches para los jóvenes, no vale la pena !!!",90.0,85.0,90.0,5.0,0.0,5.0,91.5,-1.0
EL KEWA LARA ‼️,80.0,75.0,85.0,10.0,5.0,10.0,84.25,-1.0
Pide cambio de moderadores Xque tiene miedo,75.0,70.0,80.0,15.0,10.0,20.0,78.75,-1.0
Kewa,70.0,65.0,80.0,20.0,15.0,25.0,74.5,-1.0
Bueno la corté electoral es algo serio o cualquiera lo manocea a su gusto la corte electoral debe de ser algo serio de respeto este hombre Lara se hace la burla cuando quiere este ya debía estar fuera de la carrera suspendido por incumplimiento,85.0,80.0,85.0,10.0,5.0,10.0,86.5,-1.0
Nadie le pregunto a los candidatos quey harán con la gente que siembra y vive al día en su pequei predio que carece de riego de ayuda técnica en el manejó de tierras todos se olvidaron,80.0,75.0,85.0,10.0,5.0,10.0,84.25,-1.0
El q no tiene preparacion NO LO TIENE.,75.0,70.0,80.0,15.0,10.0,20.0,78.75,-1.0
"Tiene miedo, al final el mari..... va a ser este cerdo socialista",80.0,75.0,85.0,10.0,5.0,10.0,84.25,-1.0
"Lara no asistirá por que es incompetente, es un nefasto",85.0,80.0,85.0,10.0,5.0,10.0,86.5,-1.0
Di nomás que tienes miedo y no estás preparado para ocupar la vice presidencia que desepcion,70.0,65.0,80.0,20.0,15.0,25.0,74.5,-1.0
"Cobarde,no sirve este sujeto y así quiere ser viceversa.",75.0,70.0,85.0,15.0,10.0,20.0,79.5,-1.0
"No voten por el PDC, son incapaces",80.0,75.0,85.0,10.0,5.0,10.0,84.25,-1.0
JAMÁS PENSÉ VER AL TSE SER MANIPULADO POR UN PACO CORRUPTO,85.0,80.0,85.0,10.0,5.0,10.0,86.5,-1.0
Cada que habla Solo deja Evidencia que es Un Intepto,90.0,85.0,90.0,5.0,0.0,5.0,91.5,-1.0
No entiendo para que le insisten a este cobarde si no sabe de qué hablar o de que propuestas coherentes ofrecer basta ya no le insistan total cuando pierda las elecciones ahí se darán cuenta que el pueblo les da el voto castigo xq ya perdió bastante gente con la boquita de Lara,80.0,75.0,85.0,10.0,5.0,10.0,84.25,-1.0
Ya aburre este tipejo malcriado💩,75.0,70.0,80.0,15.0,10.0,20.0,78.75,-1.0
Que lastima el. Masista iopavao,70.0,65.0,80.0,20.0,15.0,25.0,74.5,-1.0
Hay plata. muy bien qsea 2000 bs pa los d 3ra. Edad,85.0,80.0,85.0,10.0,5.0,10.0,86.5,-1.0
"En un debate si estás seguro en todo no pones condiciones, cual es el miedo",80.0,75.0,85.0,10.0,5.0,10.0,84.25,-1.0
"Jajajaj y que más importancia le dan al candidato a vice🤣🤣 choquewanca ni al caso nadie se acuerda de el ,Linera pelo,Lara hecho el importante y es aopao",75.0,70.0,80.0,15.0,10.0,20.0,78.75,-1.0
BUENO EL OPA DESERTOR TIENE MUCHO QUE RESPONDER AL PUEBLO BOLIVIANO.,80.0,75.0,85.0,10.0,5.0,10.0,84.25,-1.0
Si quiere va y si no también ni que fuese la gran cosa.,85.0,80.0,85.0,10.0,5.0,10.0,86.5,-1.0
Este kewa ya no debería participar en las elecciones no sabe ni dónde está parado en verdad,70.0,65.0,80.0,20.0,15.0,25.0,74.5,-1.0
Los corruptos le temen a preguntas que comprometes su ignorancia del Lari.,75.0,70.0,85.0,15.0,10.0,20.0,79.5,-1.0
"Entonces ke los moderadores sean evo m., loza, jerjes j., pomakusi, ramon kintana, sonia, androniko, yony y otros socialistas.",80.0,75.0,85.0,10.0,5.0,10.0,84.25,-1.0
"ESTE ES UNA BASURA Q..RENUNCIE A SU CANDIDATURA, LE VA QUEDAR "" (MUY GRANDE EL CARGO). . Q..SE VAYA A FREIR MONOS CON SU SALIBA..",85.0,80.0,85.0,10.0,5.0,10.0,86.5,-1.0
No tiene los pantalones para dirigirse a los bolivianos,90.0,85.0,90.0,5.0,0.0,5.0,91.5,-1.0
