comentario,Agresividad,Ofensa,Ideología,Constructividad,Empatía,Diálogo,Total,Catg
TUTO PRESIDENTE 🇧🇴 🙌,15,10,75,65,70,60,31.0,1
"RODRIGO PAZ Y EL CAPITAN LARA , SEGUROS GANADORES SEGUNDA VUELTA LUCHARAN CONTRA LA CORRUPCION, CORRUPTOS A LA CARCEL",25,20,75,60,65,55,37.5,0
"ESE ES EL GRAN PRESIDENTE, CON AUTORIDAD, CAPACIDAD Y AMOR A SU PATRIA EL QUE TODA BOLIVIA PIDE A GRITOS TUTO PRESIDENTE URGENTE VAMOS BOLIVIAAAA 🇧🇴🇧🇴🇧🇴🇧🇴🇧🇴",20,15,80,65,70,60,34.0,0
Solo los MASISTAS ANIMALES votarán x LARI Y PAZ,65,70,75,20,15,10,75.0,-1
Bien carajo así se habla tuto,35,30,70,45,40,35,48.75,0
"Que bueno eso nos traera Combustible y dólares,trabajo para todos🙄 esas promesas solo les interesa a los extremistas que viven de la política y por algo existe un presidente del Tribunal de Justicia y la Fiscalia y las leyes ademas de la policia que de callado deben ejevutar dicha orden sin pedir permiso del organo ejecutivo al parecer seguiremos con el sometimiento de la justicia al son del gobierno de turno,que lamentable.",45,40,70,45,40,35,53.25,0
"Todos le tienen miedo a Evo,o será la bronca porque no le dio bola",40,35,70,40,35,30,53.0,0
Con esto cuántos votos ya estará perdiendo kico 😁😁😁,45,40,65,30,25,20,58.5,0
Por favor tuto a la cárcel a Evo y mi voto para ti,35,30,75,45,40,35,49.5,0
Bravooo!!!,20,15,65,55,60,50,35.75,0
Aaah pensabamos que lo iba ayudar de nuevo como en el 2019.,40,35,65,35,30,25,54.25,0
Ver para creer dijo un ciego..... (dudo mucho que lo haga),35,30,65,35,30,25,52.0,0
Está desesperado por q si pierde no sabrá de q vivir el vago,50,55,65,25,20,15,64.75,0
Que viva paz y capitán Lara,20,15,70,60,65,55,34.5,0
"Algo me dice que eso traera muchas personas caidas,victimización y salida de un gobierno deberia callarse si es que gana mandar a ejecutar esa orden sin avisar que lo hará o en todo caso quitarle esa gente que lo resguarda al evo y que se quede solo el pedófilo y mandar a atraparlo pero con Tuto dudo mucho que eso suceda.",50,45,75,40,35,30,58.25,0
Bien crajo. Asi se habla!,35,30,70,45,40,35,48.75,0
"Jajaja dinosaurio ya tuvo su oportunidad, su única estrategia de querer ganar votos es hablar de su macho evo, no hay un discurso en el que hable de él y ya aburre, demás eso no es un plan de gobierno de eso se encarga la ley, simplemente es aplicar las normas y ya, pero veo que está obsesionado con una cosa de una prioridad no importante hay cosas más importantes que tratar, pero veo que está perdido y su supuesto plan de gobierno apesta todo apunta a ser lame botas de EEUU.",60,65,75,25,20,15,70.75,-1
Porque la persona yo no te cree.,30,25,60,40,35,30,47.0,0
Entonces mi voto es para paz.,15,10,65,60,65,55,31.5,1
Evo esto evo aquello osea solucionar al pais metiendo preso solo a evo y no a los demas cada uno save como es la corrupcion en sus departamento no habla sus propuesta uno le pregunta algo se ofende evade las preguntas y la solucion es evo preso como momesta ademas que es molesto sus anuncio como samuel crei que ya no iva ver anuncio de estos politicos y siguen habiendo 😑😑😑,55,60,70,35,30,25,63.75,0
Primero tuto al cárcel 🐭🐭🐭🐭,50,55,65,25,20,15,64.75,0
Así será porque Tuto es un hombre de carácter y no un títere como un Rolary .,45,40,70,35,30,25,57.25,0
El pueblo se levantará a favor de Evo,25,20,75,55,60,50,39.5,0
Bien tuto que así sea quiero ver,25,20,70,55,60,50,38.75,0
"Uhh ya no votaré por Tuto, va a andar detrás de Evo y se olvidará de su gestión.",35,30,65,45,40,35,48.0,0
Todo es evo primero pensa si vaz a ganar pensa como nos vasa sacar adelante a bolivia,40,35,70,50,45,40,49.0,0
TUTO PRESIDENTE 👍👍👍👍,15,10,75,65,70,60,31.0,1
Tuto tu propuesta es meter al preso Evo no más nada más burro animal voz de preocupar de meter a la cárcel al Evo no más pero cuidado que de escapes como morello,60,65,70,25,20,15,70.0,-1
"Creo será al revés, ya una vez lo perdonó Evo, dos veces no creo",35,30,70,40,35,30,50.75,0
Tuto presidente 🇧🇴,15,10,70,65,70,60,30.25,1
Bien tuto presidente,20,15,70,60,65,55,34.5,0
"Osea con eso nos dice que la justicia no será independiente, qué usará igual que su amigo Evo Morales que le regalo dos indultos, dudo mucho, .....",45,40,70,40,35,30,55.25,0
Carajo piensen como sacar adelante al país después cualquiera cosa corruptos tanto masistas y vende patrias que entren a gobernar candidatos nuevos,55,60,75,35,30,25,64.5,0
Tuto tenía portunidad que iso a las cooperativas como no a gasificación en La paz,40,35,65,40,35,30,52.25,0
X ablar y amenasar cada dia cuanto estara perdiendo el voto y el apoyo de la jente este inutil ni para aser una buena campaña no sirve con esas amenasas nunca llegara ser presidente la jente no nesita amenasas ni menos q esten en la carsel la jente en este momento quiere soluciobes inmediatos de este crisis,60,65,75,30,25,20,68.75,-1
Que siga soñando jamás serás presidente,50,55,65,25,20,15,64.75,0
El Quico no ganará en los elecciones que viva capitán Lara,25,20,70,55,60,50,38.75,0
Asta cuando m. Ban a tener como bandera política a Evo Morales queremos propuestas de como salir e esta crisis que estamos viviendo el pueblo boliviano,45,40,70,50,45,40,51.25,0
"Bien Tuto, hay formas de aplicar la ley sin lastimar ni hacer daño a gente inocente, los que protegen y defienden a Evo no son gente inocentes, son cómplices, también tendrán que rendir cuentas con la justicia.",40,35,75,55,50,45,47.75,0
Ladrón,55,60,65,20,15,10,69.0,-1
Viva EVO Morales 💪 es el mejor presidente,20,15,80,55,60,50,38.0,0
Tuto presidente,15,10,70,65,70,60,30.25,1
Que eso es propaganda ese sarnoso no sabe hacer propagandaes un malente que no sabe halar aymara,55,60,70,25,20,15,67.75,-1
TUTO PRESIDENTE 🇧🇴,15,10,75,65,70,60,31.0,1
Y quien dijo que va ser presidente nuestro voto es por paz y lara,25,20,70,55,60,50,38.75,0
El tuto también tiene q rendir cuentas de 2019 y de su gestión de gobierno,40,35,70,40,35,30,53.0,0
QUE PASE EL DESGRACIADO,60,65,65,20,15,10,71.25,-1
Tan desesperada no saben que mentir para ganar,45,40,65,30,25,20,58.5,0
Me gusta la justicia tiene q llegar las víctimas merecen descansar en paz los niños no se tocan están esperando justicia tuto presidente para cumplir la.orden de captura de evo morales,35,30,75,55,50,45,45.5,0
Tuto eso me gusta vamos por mas,25,20,70,60,65,55,36.75,0
Lara Vice👍,15,10,70,65,70,60,30.25,1
La gente si es burro va votar por ese burro del Kiko la gente de antes sabemos cómo es el tirano ese si es vende patria vamos ser gobernados por estados unidos y más deudores para los bolivianos jóvenes lean las historias de los gobiernos como fueron,65,70,75,25,20,15,73.0,-1
Hojala ya este se ponga los pantalones por que los otro parece que no tienen,35,30,65,45,40,35,48.0,0
Puede ser que lo ayude a escapar a EEUU mediante la DEA. Eso está hablado favor con favor,45,40,70,35,30,25,57.25,0
Viva CAP. Lara aquí ningún norteamericano ladron,25,20,70,55,60,50,38.75,0
Hola la gente no se da cuenta lamentablemente el vende patria corrupto tuto y la apoyan más quieren entrar a más crisis carita de que va a privatizar empresas va a quitar bonos qué gente más oppa no se dan cuenta voten pues por tuto van a ser felices como como cuando ya nine Camacho cómo era por culpa de ese sinvergüenza del país están crisis sin diesel sin gasolina canasta familiar en sobre los nubes eso es lo que quieren la gente eso aplauden,65,70,75,25,20,15,73.0,-1
TUTO PRESIDENTE 🇧🇴🇧🇴🇧🇴🇧🇴,15,10,75,65,70,60,31.0,1
Esa es la actitud tuto presidente,20,15,70,60,65,55,34.5,0
Favor con favor nomás va ser de este quico,40,35,65,35,30,25,54.25,0
Rodro paz presidente tuto la carcel,45,40,70,30,25,20,59.25,0
TUTO FUTURO PRESIDENTE DE BOLIVIA 💪,20,15,75,65,70,60,33.25,0
Tuto a poner orden en el chapare,35,30,70,45,40,35,48.75,0
Después tuto limpiaba las botas de evo,50,55,65,25,20,15,64.75,0
Si pero el debería ir a la cárcel por cómplice cuando dejó que escapara a Argentina,45,40,70,35,30,25,57.25,0
Mi voto lara,15,10,70,65,70,60,30.25,1
El ara BA ganar,20,15,70,60,65,55,34.5,0
"Realmente espectacular,sería lo mejor de lo mejor,ya la gente ha despertado y Tuto la tiene clara,mi voto lo tiene asegurado Sr.Tuto Quiroga Bendiciones y Éxitos.",25,20,75,65,70,60,35.5,0
Me vale v.esa es tu propuesta Abla de cómo sacar adelante al país pero sabes cómo SOS un vende patria,60,65,70,25,20,15,70.0,-1
Yo no entiendo porque pone propuestas de trabajo dejenlo tranquilo al Evo primero as al go todavia porque evo a echó obras carreteras i muchas obras,40,35,75,45,40,35,51.75,0
Quien es este yo lo conozco de suwa t'apa saqueador y el cómplice del golpe de estado 2019 tuto nunca mas,65,70,75,20,15,10,75.0,-1
Tuto astuto tus sueños no se cumpliran,45,40,65,30,25,20,58.5,0
No hay duda . Tuto es nuestro futuro presidente.,20,15,75,65,70,60,33.25,0
Claro que sí TUTO presidente,20,15,75,65,70,60,33.25,0
Ese indio debe responder por toda la corrupción de su gobierno y por pedofilo junto a loza su lacayo que chonchocoro los espera,70,75,75,15,10,5,79.25,-1
Por qué no a dicho nada cuando mataron en sacaba 😡😡😡,55,60,70,25,20,15,67.75,-1
Paz y Lara presidente,20,15,70,65,70,60,32.5,1
Excelente,15,10,65,60,65,55,31.5,1
Tuto Quiroga es puro bla bla bla,45,40,65,30,25,20,58.5,0
Tuto presidente,15,10,70,65,70,60,30.25,1
No tiene pruebas reales solo son calumnias solo quiere ganar eñ voto presidencial no va poder atraparle a Evo,45,40,70,35,30,25,57.25,0
Tuto presidente 🇧🇴,15,10,70,65,70,60,30.25,1
Lara presidente,15,10,70,65,70,60,30.25,1
"A quien le importa, lo que importa es la llegada de dolar sin hipotecar al FMI, la falta de carburantes, eso es lo que importa, que incompetentes son los candidatos y más incompetentes los periodistas y medios de comunicacion que dan cobertura a cosas irrelevantes, como si al detener a Evo cambiara la situación actual. INUTILES.",55,60,70,40,35,30,61.75,0
"Eso no intereza con eso quiere ganar votos, deberías tu sueldo vitalicio no percibir ahí si te apoyaria",45,40,65,35,30,25,56.5,0
Bien por fin ese individuo a la carcel,35,30,75,45,40,35,49.5,0
Tuto queremos propuestas y nos sales con sto.. mejor cásate con evo así felices los dos....... xq stas más preocupado de tu marido.... bolivia necesita propuestas de cm mejorar la economía...,55,60,70,35,30,25,63.75,0
