comentario,Agresividad,Ofensa,Ideología,Constructividad,Empatía,Diálogo,Total,Catg
Preoccupate de ti,50.0,30.0,40.0,20.0,30.0,40.0,53.5,0.0
Nisiquiera improvisar sabe este 🤡,50.0,40.0,60.0,10.0,5.0,10.0,66.0,0.0
Es increíble lo q opina la gente no saben cómo es EEUU piensen pues un poquito por favor,40.0,40.0,50.0,10.0,5.0,5.0,62.5,0.0
No dijo que los candidatos no tienen la legalidad de gestionar créditos o ayuda en el exterior. Quien le entiende,30.0,25.0,70.0,10.0,5.0,5.0,60.0,0.0
Este no sabe que es plan de Gobierno,40.0,40.0,20.0,5.0,10.0,5.0,58.5,0.0
"Si claro, se va reunir con Claure",30.0,35.0,40.0,5.0,10.0,5.0,58.0,0.0
El plan zurdos capitalistas jajajajaja,60.0,60.0,10.0,0.0,5.0,0.0,68.0,-1.0
"Pero si es de izquierda tiene que ir a Cuba, Venezuela... y otros copión de Tuto, capaj y quiere buscarle a Claure...",80.0,70.0,30.0,5.0,5.0,5.0,76.5,-1.0
Si no tiene nada que ba presentar.,60.0,60.0,10.0,0.0,5.0,5.0,67.5,-1.0
"Vamos con Paz y Lara, Bolivia necesita renovación con honestidad.",10.0,10.0,40.0,30.0,20.0,10.0,41.5,0.0
Lloron,80.0,80.0,5.0,0.0,5.0,5.0,75.75,-1.0
Que dirá Lara????.,40.0,40.0,5.0,0.0,5.0,5.0,57.75,0.0
que pena que no se sientan capases de gobernar solo con el pueblo sienpre trayendo resetas de afuera,60.0,60.0,10.0,0.0,5.0,5.0,67.5,-1.0
Una pena está gente que no se sienten capas y tienen que ir de rodillas a los yanqui gg,70.0,70.0,70.0,5.0,5.0,5.0,80.0,-1.0
EEUU NO NEGOCIA CON SOCIALISTAS ZURDOS,70.0,70.0,70.0,5.0,5.0,5.0,80.0,-1.0
Pero si solo con la nacionalización de los chutos y quitarles la renta a los ex presidentes te alcanzaba y sobraba 🤣🤣,60.0,70.0,10.0,0.0,5.0,0.0,70.0,-1.0
"No estará yendo a buscar préstamos, pero está yendo a ver si le apoyan los programas mediante donaciones,osea a dar pena y ped… Ver más",70.0,70.0,10.0,0.0,5.0,0.0,72.5,-1.0
"Es para disimular, ya está todo consolidado ya compraron el cargo.",60.0,70.0,10.0,0.0,5.0,0.0,70.0,-1.0
Fuerza paz y lara,,,,,,,,
BENDICIONES RODRIGO PAZ PRONTO PRESIDENTE DE BOLIVIA 🇧🇴 🇧🇴🙏🙏,10.0,10.0,50.0,40.0,30.0,10.0,40.0,0.0
Eso que propones no nos sirve ahora quizás después se arreglar lo que destruyeron los populistas socialista de mier,,,,,,,,
Estos dos son unos nefastos 🤣,80.0,80.0,5.0,0.0,5.0,0.0,76.25,-1.0
"Que pasoooo cambio de idea, no es que blasfema contra EE.UU.",50.0,30.0,10.0,0.0,5.0,5.0,59.0,0.0
Y para q bas a presentar sino tenes plata para tus proyectos dnd bas a sacar burro,60.0,60.0,30.0,5.0,5.0,5.0,69.5,-1.0
Voten lo por favor,10.0,10.0,50.0,40.0,20.0,10.0,41.0,0.0
No vayas no te datan un centavo si proteges al marcotrafico,80.0,80.0,70.0,5.0,5.0,5.0,84.5,-1.0
Los gringos te van a escupir cuando vean ese plan y te gritaran eso no es capitalismo es socialismo,60.0,60.0,10.0,0.0,5.0,5.0,67.5,-1.0
Ya lo jodiste todo tú candidatura,80.0,80.0,50.0,0.0,5.0,5.0,82.5,-1.0
"Y ahora sí pedirá , a ver si le dan chance .… Ver más",70.0,70.0,10.0,0.0,5.0,0.0,72.5,-1.0
Tuto presidente,10.0,10.0,50.0,10.0,20.0,10.0,47.0,0.0
El GIF  puede contener LOL Eso está muy bueno jajaja,5.0,5.0,0.0,0.0,80.0,0.0,34.25,0.0
👎👎👎,5.0,5.0,0.0,0.0,5.0,0.0,41.75,0.0
Rodrigo Paz Presidente !!! 🇧🇴,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0
😒😒😒,5.0,5.0,0.0,0.0,5.0,0.0,41.75,0.0
"El GIF  puede contener minions, minion, laughing, funny, haha y prisoner",0.0,5.0,0.0,0.0,80.0,0.0,33.0,1.0
Cual plan de gobierno??? 🤣🤣🤣,0.0,0.0,0.0,0.0,80.0,0.0,32.0,1.0
"El GIF  puede contener laugh out loud, laugh, ridiculous, hilarious, lolz, lol y hahahaha",0.0,0.0,0.0,0.0,80.0,0.0,32.0,1.0
"El GIF Cracking Up Lol GIF by STRAPPED! puede contener meme, lol, laugh, laughing, haha, lmao, laughter, lmfao, cracking up, flightreacts, flight reacts, flight team, laughing meme, flight team stand up, flight meme y flight reacts meme",0.0,0.0,0.0,0.0,80.0,0.0,32.0,1.0
otro chupa media de guingos,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0
Un zurdo capitalista que tipo de payasadas son estas. Los capitalista no dan bonos dejan en libertad a la población de crear f… Ver más,0.0,5.0,0.0,0.0,0.0,0.0,41.0,0.0
"que lleve a su ""garantía"" y seguro será bien recibido con el plan de ""casas de 2 pisos para todos los bolivianos """,90.0,90.0,0.0,0.0,0.0,0.0,80.5,-1.0
"Ahora va ir a ver a los gringos …???cuando hace poco crítico duramente a TUTO , en fin abunda la hipocresía …!!!!😱😱🙄🙄🤔🤔",90.0,90.0,0.0,0.0,0.0,0.0,80.5,-1.0
💩💩💩💩💩💩,60.0,60.0,0.0,0.0,0.0,0.0,67.0,-1.0
GIF,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0
Happy Hashtag GIF,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0
TUTO PRESIDENTE DE LA REPÚBLICA DE BOLIVIA 🇧🇴,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0
"El GIF  puede contener bobbycord, meme, esmbot, funny, spiderman, Jk Simmons, J Jonah Jameson, J Jonah Jameson Laugh, J Jonah Jameson Meme, So Funny y Not Funny Didnt Laugh",0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0
A que ira a EEUU (?) 🤔 ¿a decirles peyorativamnete 'Gringos' en su cara? Porque … Ver más,0.0,5.0,0.0,0.0,0.0,0.0,41.0,0.0
No vayas con tu idiota Lari nadie te ayudará. Envidioso de Tuto.,,,,,,,,
Sus 24 hojas hechas con chat gpt mostrará? 🤡 Se van a reír en su cara en el imperio 🤣🤣🤣 #LaraYpazSonDelMAS,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0
"JAJAJAJAA QUE PASO PAYASITO 🤡🤡🐁 PRIMERO CRITICASTE A TUTO, DECÍAS QUE NO ES NECESARIO PRESTARSE Y AHORA? SE NOTA QUÉ NO TENES … Ver más",0.0,5.0,0.0,0.0,0.0,0.0,41.0,0.0
Es una v3rgüenz4 su plan de g0bierno !!!,5.0,60.0,0.0,0.0,0.0,0.0,53.25,0.0
Gladyz Gil Callao,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0
Rodrigo Paz futuro Presidente de bolivia por un cambio por la renovación por días mejores para el pueblo,,,,,,,,
"Sólo ganará en Argentina y Brasil, ahí estan los residentes bolivianos zurdos. En EE.UU arrasará Tuto.",90.0,90.0,0.0,0.0,0.0,0.0,80.5,-1.0
Jc Uriel San,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0
Lo que menos quieren en éstos momentos en #EEUU es saber de zurdos.,90.0,90.0,0.0,0.0,0.0,0.0,80.5,-1.0
OTRA METIDA DE PATA...,5.0,60.0,0.0,0.0,0.0,0.0,53.25,0.0
"Sin EE UU no hay nada, China te da centavos a cambio de riquezas naturales, Rusia sólo amenazas, pero no puede con UCRANIA… Ver más",0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0
Excelente. Rodrigo Paz Presidente y Edman Lara vicepresidente.,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0
Pero su vice Lari no podrá acompañarlo porque está arraigado por sus procesos penales pendientes 🙄👎,85.0,80.0,85.0,5.0,5.0,0.0,88.5,-1.0
Tanto decía Lara que tuto nos estaba vendiendo a los gringos 😂😂😂,85.0,85.0,80.0,5.0,5.0,0.0,88.75,-1.0
Ahhh.... Recién se dio cuenta que sin ayuda no se sale de esta crisis.,,,,,,,,
Y porque no explica primero en bolivia su plan de gobierno.,80.0,85.0,75.0,5.0,5.0,0.0,86.75,-1.0
EL QUE SE LO HICIERON EN CHAT GPT ??,5.0,5.0,85.0,5.0,5.0,5.0,53.0,0.0
Realidad de Bolivia que no te importa.. masiburro,90.0,95.0,85.0,0.0,0.0,0.0,94.25,-1.0
