comentario,Agresividad,Ofensa,Ideología,Constructividad,Empatía,Diálogo,Total,Catg
"Mi Voto es y será para salvar BOLIVIA del socialismo, mi voto es por TUTO",10,5,75,55,50,45,34.25,0
"No lo veo buena persona, transmite desconfianza",60,55,65,10,10,10,71.75,-1
La guerra sucia es Lara vs Lara,65,60,75,10,10,10,75.5,-1
Este está más loco que la cabra,70,65,80,10,10,10,78.5,-1
Tuto presidente,10,5,75,55,50,45,34.25,0
TUTO PRESIDENTE !!!❤💛💚,10,5,75,55,50,45,34.25,0
El Pez señor Paz muere por su boca,65,60,70,10,10,10,74.75,-1
Tuto presidente el único no hay más,10,5,75,55,50,45,34.25,0
Por qué no eres una persona normal Rodrigo=Lari,65,60,80,10,10,10,76.25,-1
"GENTE ESTOS TIPOS NINGUNO VA A GOBERNAR SI GANAN, los másis ya tienen todo calculado, su misión es TENER PRESIDENCIA EN EL SENADO POR ESO ESTAN LOS MASISTAS DE SENADORES DEL PDC. Y EL PRESIDENTE DEL SENADO SERÁ EL PRÓXIMO PRESIDENTE A UN AÑO QUE GANEN LOS PAZLARA. LOS SOCIALISTAS DEL MAS CAMPEANTES VOLVERAN A GOBERNAR NO SÓLO 4 AÑOS, COMO DECIA EL GRAN JEFE HEMOS VENIDO PARA QUE DARNOS 500 AÑOS.",70,65,85,10,10,10,79.25,-1
Los dos locos opa de ese binomio,60,55,75,10,10,10,73.25,-1
"Tuto no miente, tú sii, todo son falaces propuestas",15,10,55,70,60,55,28.5,1
Tuto presidente adelante te apoyamos,10,5,75,55,50,45,34.25,0
El quiroga no le dice nada,15,10,55,65,60,55,29.5,1
No tienen propuestas por eso solo hablan de guerra sucia,60,55,75,10,10,10,73.25,-1
Que alguien le diga Lara es su vicepresidente y no el de Tuto,15,10,55,65,60,55,29.5,1
Tuto presidente,10,5,75,55,50,45,34.25,0
El que hace guerra sucia es Lara 😱,65,60,80,10,10,10,76.25,-1
Con este pollo que vamos tener igual quel el vamos a estar sin plumaje,60,55,75,10,10,10,73.25,-1
Paz y Lara presidente,10,5,70,55,50,45,33.5,0
"Ustedes socios de masistas empezaron con la guerra sucia, Tuto y JP son unos caballeros",15,10,55,70,60,55,28.5,1
Tuto presidente,10,5,75,55,50,45,34.25,0
"Este está enamorado del TUTO, SUENA CON EL... 😉🥰",10,5,55,65,60,55,27.25,1
"Que tanto se quejan de guerra sucia , porque más bien no dedican hacer sus campañas limpias y dejan de buscar culpables.",15,10,55,70,60,55,28.5,1
Si llegan al poder Bolivia está perdida.,65,60,75,10,10,10,75.5,-1
"Tu lari empezó la guerra sucia,acordate le dijo a Tuto cobarde...asi que no te hagas el ofendido y por favor no busques culpables tu eres por tener a tu.lari Rodrigo",70,65,80,10,10,10,78.5,-1
Tírale la oreja a Lara es el único q hace guerra sucia,65,60,75,10,10,10,75.5,-1
El único que te hace guerra sucia es tu VICE.,65,60,75,10,10,10,75.5,-1
Nosotros le hacemos recuerdo de sus metidas de pata así que si eso llama guerra sucia pues que pena,15,10,55,65,60,55,29.5,1
Primero que sierre el osico de su pareja,65,60,75,10,10,10,75.5,-1
Pero si el q Hase guerra sucia es su candidato. A vicepresidente el masista,65,60,80,10,10,10,76.25,-1
..... NO ERES DE FIAR....DEMAGOGO.,70,65,80,10,10,10,78.5,-1
"pero si este y su postulante a vice, son los que desprestigian a nuestro país, o ya no se acuerda que su propia boca nos metió en problemas con todos nuestros vecinos, con lo de los autos chutos y policías, sus bocasas de ambos son el gran problema.",70,65,80,10,10,10,78.5,-1
Son uds lo que están haciendo guerra sucia,65,60,75,10,10,10,75.5,-1
No pueden llamar guerra sucia a TODA LA VERDAD DE ESTE PAR DE TONTO Y RETONTO,70,65,80,10,10,10,78.5,-1
"La guerra sucia la original Lacra, por su incontinencia verbal , muy bien respaldada por su nana Rodrigo",65,60,75,10,10,10,75.5,-1
Modera a tu paco,60,55,70,15,10,15,71.0,-1
LLORÓN!!!! TRABAJA!!!!,75,70,85,10,10,10,81.5,-1
Par de opas,60,55,70,10,10,10,72.5,-1
"Hace falta estar enfermo mentalmente para votar por estos dementes ,sicopatas comunista,que locura Dios mio libranos de estos demonios ,piedad Sr.",80,75,85,10,10,10,83.75,-1
El ladrón piensa que todos son de su condición,70,65,80,10,10,10,78.5,-1
Pero esta feliz el señor que a los profesionales ya los que están estudiando nos consideren deshonesto solo por el. Hecho de buscar superarnos?? Incluso a él. Mismo le dijo deshonesto o acaso no es profesional???,15,10,55,65,60,55,29.5,1
Primero que lo eduque al grosero irrespetuoso déspota provocador vice..qué tiene ..,65,60,75,10,10,10,75.5,-1
"Gallito, eres muchísimo más mañudo que tú padre",65,60,75,10,10,10,75.5,-1
Acptale puej el debate no seas panada,15,10,55,65,60,55,29.5,1
Por favor......este personaje ya está igual que los del MAS salen por la tangente y nos quieren marear con sus dichos...,60,55,75,10,10,10,73.25,-1
Noo nunca mas el socialismo..!,10,5,75,55,50,45,34.25,0
Este sujeto nunca va llegar al poder como presidente ellos mismos se vendieron estos dos son financiados por el narcotraficante EVO Morales para tapar toda la corrupción que hizo en su gobierno de 14 años,80,75,85,10,10,10,83.75,-1
TUTO será tu precidente,10,5,75,55,50,45,34.25,0
Debería mejor mirar a su acompañante que le hace daño a su partido cada vez que hace declaraciones.,15,10,55,65,60,55,29.5,1
Es absolutamente al revés….él y Lara hacen la guerra sucia ! Son un par de peligrosos masistas !,75,70,85,10,10,10,81.5,-1
Cómo todo masita culpa a otro por errores de su compañeros,65,60,75,10,10,10,75.5,-1
"No nos olvidemos que el 21 F éste Sr. RODRIGO DIJO SI, cuando el pueblo dijo NO",65,60,75,10,10,10,75.5,-1
"Es al revéz, Paz y Lara hacen guerra sucia.",65,60,75,10,10,10,75.5,-1
FUERAAAAAAA LARA Y RODRIGO TROPA DE IMB🤢🤢🤢🤢ÉCILES 🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡,80,75,85,10,10,10,83.75,-1
Tuto presidente,10,5,75,55,50,45,34.25,0
"Paz, das pena ajena!!! Haces y dices lo que sea con tal de defender al Lara... Tu marido es, tienes que aguantar!!!",70,65,80,10,10,10,78.5,-1
"Lara lo va a tumbar a Rodrigo si llegan a ser gobierno,está emborrachado con tener poder, su cinismo y manipulación está llegando a extremos de preocupación,,todo es odio y tratando de dividir al país, sembrando más odio y resentimiento,,,",75,70,85,10,10,10,81.5,-1
"El Lari kewa hace guerra sucia, Rodrigo hace papelones nomas, pobrecito",65,60,75,10,10,10,75.5,-1
