comentario,Agresividad,Ofensa,Ideología,Constructividad,Empatía,Diálogo,Total,Catg
...TODOS LOS CAMALEONES SE VAN UNIENDO...POR UNAS PEGUITAS...,70,65,75,15,10,10,76.75,-1
Empezó la repartición de ministerios tuto y JP están preocupados xq sabe que Lara ganará con más del 62 %,45,35,60,35,25,25,55.25,0
Más bien va restar votos con ése disque apoyo.,40,25,55,45,35,30,47.75,0
Muy bien tuto presidente si señor...,15,10,70,70,65,60,29.75,1
Que es Cambio 25 ??? Pertenece a Yango o Banco Fassil??? Que es???,25,15,45,50,45,40,37.5,0
BIEN BIEN DR..VICENTE CUELLAR NO DUDAVA DE UD...ES CON TUTO QUIROGA...,25,15,70,55,50,45,39.25,0
Yo apoyo lara,10,5,60,80,70,75,22.0,1
Paz presidente,15,5,65,75,70,75,25.0,1
Y cuanto puede aportar ese apoyo..,35,25,50,45,40,35,44.75,0
Cuatro gatos y mucho ruido.,55,50,60,25,20,20,63.75,0
Todo el tiempo se le dió el apoyo uouo caminabacinanaba 30 kilome,30,25,50,40,35,35,45.0,0
Genial !!! 👏👏👏👏,10,5,55,85,80,80,18.75,1
Bravo.,10,5,70,85,80,75,21.5,1
los otros del proceso de cambio PDC Es más de los mismos saqueadores que destruyeron el país,75,70,80,20,10,15,78.25,-1
Que buena noticia,10,5,55,85,80,80,18.75,1
El echo que le apoye el solo no quiere decir que por eso va ganar o la gente decidirá por ellos,20,15,45,60,50,45,33.25,0
"FUERZA, FALTA POCO",10,5,50,80,75,75,20.0,1
Dios nos libre de los masistas,60,55,85,25,15,10,71.25,-1
Genial 😁,10,5,55,85,80,80,18.75,1
"Bien ahí, tuto presidente",15,10,65,75,70,70,26.5,1
la solution Tuto Y JP 🇧🇴🙏l,10,5,60,70,70,70,24.5,1
Eses dos son de la misma calaña que quieren volver a santa cruz nación canba,70,65,75,20,10,15,75.25,-1
Nos vale madre quienes sean esos aquí apoya todo el pueblo a lara,65,55,70,30,20,25,67.25,-1
"Que bueno, visiten la universidad",10,5,45,80,75,80,18.75,1
BIEN DR.VICETE CUELLAR POR SU APOYO EXCELENTE ES CON TUTO QUIROGA PRESIDENTE ♥️💛💚🇧🇴🇧🇴🇧🇴♥️💛💚,10,5,65,75,70,70,24.25,1
Excelente,10,5,55,85,80,80,18.75,1
"ES QUE YA SE VAN DANDO QUE SON LOS MÁS SENSATOS, PORQUE LO QUE ES PAZ, SÓLO QUIERE EMBOLSILLARSE LO QUE NEGOCIO CON SU PAÍS (ESPAÑA) Y LARÍN ESTA QUE LE FALTA UNA FERRETERÍA DE TORNILLOS",70,60,80,20,15,10,75.0,-1
Unos cuanto pelagato apoyaran pues el pueblo entero esta con lara y paz,65,55,75,25,20,20,69.5,-1
Lara vice positivo,15,5,60,75,70,70,24.75,1
Es con tuto es con jp,10,5,60,70,65,65,25.5,1
Juntos contra evo lara paz,25,15,70,60,55,55,36.75,0
Apoyo para no más filas en atenciones médicas que sean programadas desde un celular,10,5,40,90,85,85,14.5,1
Tuto Presidente,10,5,65,70,65,65,26.25,1
Mañudos,60,55,65,20,15,15,68.75,-1
No ven lo que pasa en Cuba .Venezuela Nicaragua...,55,45,85,35,30,25,63.0,0
"Exelente, cada ves mas se están hundiendo el PDC masistas delincuentes",70,65,80,20,15,15,75.5,-1
Ligia no subirá al gobierno... Ya perdió junto con samuelitio,50,40,60,35,30,25,57.0,0
SE SUMAN TODOS LOS MILLONARIOS,65,60,70,25,20,15,70.25,-1
Jajaja libre para vender el país,70,65,80,15,10,10,77.5,-1
"No sé etiende a gente, parece que les gusta la triste situación...",55,50,75,40,35,35,60.0,0
Q seponga a trabajar ese visente coellar q es un vividor da la política des carado,75,70,70,15,10,10,78.25,-1
Para que conozcan a los ladrones facistas,75,70,80,20,10,10,78.75,-1
Par de vividores ...pregúntele cuanto cuesta el pan..pásaje en micro...hijitos de papá,80,75,75,15,10,10,81.25,-1
Todos delincuentes están juntando ni con eso no van ganar perdedores,80,75,75,15,10,10,81.25,-1
Pero no tiene apoyo de las mayorias...,40,35,55,45,40,40,48.25,0
Vamooos RODRIGOOOOO.,10,5,55,80,80,80,19.75,1
Ya la gente no tiene buenos princios...,45,40,60,40,35,35,53.25,0
Y a quien le interesa si el resto de gente no lo quiere,55,50,60,30,25,25,61.75,0
Paz presidente LARA vice 💪💯😎,10,5,65,75,70,75,23.75,1
Este partido es de los ricos q ya se están comprando ministerios...,70,65,80,20,15,15,75.5,-1
Kiko p'ajpaku familia de Red uno,50,45,65,35,30,30,58.25,0
Entre ladrones compadrean,75,70,80,15,10,10,79.75,-1
Q. BUENO SU APORTE AL UNIRSE POR NUESTRA AMADA PATRIA...,10,5,60,75,70,70,23.5,1
LA ÚNICA OPCIÓN INTELIGENTE PARA 🇧🇴🇧🇴🇧🇴🇧🇴🇧🇴🇧🇴,10,5,65,80,75,75,22.25,1
Tuto presidente,10,5,65,75,70,70,24.25,1
Que reciba el apoyo de quien quiera eso no me interesa porque yo vivo de mi trabajo.,25,20,45,55,50,45,36.5,0
"Tanto joder ,estos llegaron a su tope...",60,55,70,25,20,20,67.5,-1
Bien Excelente,10,5,55,85,80,80,18.75,1
TUTO PRESIDENTE!!!,10,5,65,75,70,70,24.25,1
Se están reuniendo puro fasistas puro ricos,75,70,80,15,10,10,79.75,-1
Viva el capitan lara votaré para el,10,5,60,80,75,75,21.5,1
Los buitres siempre estuvieron con los buitres,70,65,80,20,10,10,76.5,-1
TODOS CON TUTO PRESIDENTE 🇧🇴 🙏,10,5,65,75,70,70,24.25,1
Buenísimo,10,5,55,85,80,80,18.75,1
Ganamos TUTO presidente,10,5,65,75,70,70,24.25,1
Lara vice de todos los locos esquizofrénicos que vaya a gobernar al Gregorio Pacheco de Sucre,85,80,85,10,10,10,86.0,-1
Rodrigo Paz presidente,10,5,65,70,65,65,26.25,1
Nada importante sin relevancia,30,25,45,45,40,35,42.75,0
Votamos por PAZ Y LARA,10,5,60,70,65,65,25.5,1
Seguro ese apoyo es de millones a ese Cuellar asta su mujer dejo de apoyar,60,55,65,25,20,20,66.75,-1
Con unos cuantos gatos de apoyo así no ganamos ni llorando,65,60,70,25,20,15,70.25,-1
Viva Vicente Cuellar ....,10,5,60,75,70,70,23.5,1
Es con paz,10,5,60,75,70,70,23.5,1
Hagan lo q hagan. Mi apoyo es para Lara yane o pierda,10,5,60,75,70,70,23.5,1
Muy bien 👍 👏,10,5,55,85,80,80,18.75,1
Muy bien,10,5,55,85,80,80,18.75,1
LA UNION HACE LA FUERZA,10,5,55,85,80,80,18.75,1
Es que está claro el que no apoya es masista sencillo...,40,35,65,45,40,40,49.75,0
Excelente decisión 👍 👏,10,5,55,85,80,80,18.75,1
Unidad,10,5,55,85,80,80,18.75,1
"Entre corbata y perfume, en éste sistema capitalista...",75,70,85,15,10,10,80.5,-1
TUTO PRESIDENTE,10,5,65,75,70,70,24.25,1
Tuto presidente cada día suman y suman y Rodrigo y Lara solo se dedican a mentir...,45,40,60,45,40,40,51.25,0
Toda la gente de bien apoyamos a Tuto presidente.,10,5,55,85,80,80,18.75,1
Entre mafias se unen,70,65,80,20,10,10,76.5,-1
Pata q,45,40,55,35,30,30,54.5,0
Well Done Thumbs Up GIF,10,5,55,85,80,80,18.75,1
Ese par oportunistas igual no van ganar,70,65,75,20,15,10,75.25,-1
Por sus publicaciones RED UNO está en campaña por TUTO,35,25,55,50,45,40,43.5,0
Exelente desicion,10,5,55,85,80,80,18.75,1
Par de OPAS,80,75,75,10,10,10,82.25,-1
Tuto tu amiguito Vicente Cuellar va obligar a los universitarios...,55,50,70,40,35,30,59.75,0
Importante apoyo venido de un hombre serio y honesto !!! Tuto Presidente.,10,5,55,85,80,80,18.75,1
Cuatro gatos piojosos,75,70,80,15,10,10,79.75,-1
Únanse todihgos pero igual perderán,70,65,75,20,15,10,75.25,-1
Viva tuto jp vamos tuto presidente,10,5,60,75,70,70,23.5,1
CUELLAR ES UN PERSONAJE SIN LIDERAZGO SOLAMENTE UN HABLADOR Y POLITIQUERO,75,70,75,15,10,10,79.0,-1
Vamos Vicente Cuellar !,10,5,55,80,75,75,20.75,1
Toda la población inteligente de Bolivia apoya a TUTO PRESIDENTE decimos NOooooooo al comunismo hambreador,65,55,80,25,20,20,70.25,-1
Cada vez más se unen los mismos los que robaron en el gobierno de jannine añez solo falta que se una arturo murillo,70,65,80,20,15,15,75.5,-1
