comentario,Agresividad,Ofensa,Ideología,Constructividad,Empatía,Diálogo,Total,Catg
"Igualito al Evofilo, no permite que le hagan preguntas que no sabe responder...",60,55,80,20,15,25,70.0,-1.0
"Está pidiendo que les pasen las preguntas, para estudiarlas y poder responderlas!! 🤣🤣",50,45,75,25,20,30,62.75,0.0
Esto se llama cobardía 😅😅😅,55,60,70,20,15,25,68.25,-1.0
Y si no se concede tu capricho???? No habrá debate????,60,55,75,25,20,30,67.25,-1.0
El q esta preparado no tiene miedo a nada,35,30,65,40,35,45,48.5,0.0
Cuando una persona no es preparada intelectualmente es normal que evite enfrentar un debate por ejemplo.,40,35,70,35,30,40,53.5,0.0
"Con moderadores vendidos como Jimena Antelo y Pumacusi, quien es el para colocar sus condiciones",70,65,85,15,20,25,75.75,-1.0
No tiene capacidad de debatir con argumento y propuesta. Así se escapan cuando saben que van a ridiculizarlos en público .,55,50,80,25,20,30,65.75,0.0
Cómo todo capibara le da miedo debatir,65,70,75,15,10,20,75.5,-1.0
Va llorar.... Va llorar... Va llorar... Va llorar...,60,65,70,10,5,15,74.5,-1.0
"En otras palabras, tiene miedo",45,40,75,30,25,35,58.5,0.0
Tiene miedo,40,35,70,35,30,40,53.5,0.0
Se orino,65,70,65,15,10,20,74.0,-1.0
Claro q si Evo junior 👍🏾,55,60,85,20,15,25,70.5,-1.0
Tiene miedo el OPA,60,65,75,15,10,20,73.25,-1.0
"El debate del TSE debe ser obligatorio, la asistencia de los candidatos es impresindible 🤷 o como vamos a conocer sus propu… Ver más",30,25,65,55,50,45,41.75,0.0
"Solo puede hablar cuando está con sus tutores Evo, Moldiz, Linera, Chávez, Quintana, Romero, Torrico Héctor Arce, Loza, porque… Ver más",70,65,90,15,20,25,76.5,-1.0
ASESORADO POR EL PEDOF,75,80,85,5,10,15,84.0,-1.0
Quiere que Holguín sea el Moderador,45,40,75,30,25,35,58.5,0.0
Pispis,60,65,70,15,10,20,72.5,-1.0
"Plurales como los movimientos sociales y bartolinas, moderadores de buen corazón y que no sean profesionales para que haya de-… Ver más",50,45,80,25,20,30,63.5,0.0
"Puede ser una imagen de texto que dice """"Llegará el día en que la inteligencia será despreciada yy la estupidez será adorada.' Saramago.""",35,30,65,40,35,45,48.5,0.0
Es normal esa petición de alguien que no sabe donde está parado y no tiene un mínimo de conocimiento de cifras macro/micro eco… Ver más,45,40,75,30,25,35,58.5,0.0
