comentario,Agresividad,Ofensa,Ideología,Constructividad,Empatía,Diálogo,Total,Catg
Y quen dice que vas a hacer presidente porque nuestro futuro presidente es Paz y Lara,35,30,70,40,35,45,49.25,0.0
Evo ha sido mejor Presidente que vos Tuto v,45,40,80,30,25,35,59.25,0.0
Tuto Presidente 💪👏🇧🇴🇧🇴🇧🇴,15,10,75,60,55,45,35.0,0.0
Definitivamente 💪es con tuto,20,15,75,55,50,40,39.25,0.0
TUTO PRESIDENTE 🇧🇴,15,10,75,60,55,45,35.0,0.0
"Tuto Presidente, no hay otro que salve del narcotráfico y crisis económica",25,20,80,50,45,40,43.75,0.0
Tuto presidente 🇧🇴🇧🇴🇧🇴🇧🇴🇧🇴,15,10,75,60,55,45,35.0,0.0
Mi voto es Paz - Lara.,15,10,65,60,55,45,33.5,0.0
"Pero tuto tu amor con el jefazo no se va dar así, se que del odio se llega al amor Pero no es así, de tanta indirectas se va c… Ver más",45,40,75,30,25,35,58.5,0.0
Jóvenes sepan votar bien no se dejen llevar por Bono el bono no es la solución queremos estabilidad,30,25,70,45,40,45,45.5,0.0
Mucha desesperación ...,35,30,70,40,35,45,49.25,0.0
TUTO PRESIDENTE,15,10,75,60,55,45,35.0,0.0
Vamos mi capitan,20,15,65,55,50,40,37.75,0.0
Tuto presidente,15,10,75,60,55,45,35.0,0.0
JORGE TUTO QUIROGA PRESIDENTE 🇧🇴👍,15,10,75,60,55,45,35.0,0.0
Este Kiko quiere su voto de evo por eso todos los dias sueña con evo,50,55,80,25,20,30,65.5,0.0
vamos TUTO PRESIDENTE!!!,15,10,75,60,55,45,35.0,0.0
Y quien te dijo que basa ganar,40,35,75,30,25,35,56.25,0.0
Enamorado de evo que quiso haces reir,45,40,75,30,25,35,58.5,0.0
Tuto presidente ❤️💛💚,15,10,75,60,55,45,35.0,0.0
Bien Tuto!!,20,15,75,55,50,40,39.25,0.0
Muy bien pero primero tienes q ganar,35,30,75,40,35,45,50.0,0.0
Show montado evo es tu jefe Tuto,50,55,80,25,20,30,65.5,0.0
Tuto presidente,15,10,75,60,55,45,35.0,0.0
🤣🤣🤣 claro,35,30,70,35,30,40,51.25,0.0
Rodrigo y Lara,15,10,65,60,55,45,33.5,0.0
Mi presidente tuto,20,15,75,55,50,40,39.25,0.0
Super. Vamos. Tuto.,20,15,75,55,50,40,39.25,0.0
Nooo creeeeeeeeeoo,40,35,70,35,30,40,53.5,0.0
"Evo es una obsesión para toda la gente honesta queremos verlo preso no se como lo apoyan al pedofilo, ladron y corrupto espero… Ver más",55,60,85,25,20,30,68.5,-1.0
Vamos tuto tu puedes,20,15,75,55,50,40,39.25,0.0
"A Tuto,le preocupa la decisión de Evo , por quién votará, sabe que somos mayoría,lo único que sabe es amenazar,es su desesperación",45,40,80,30,25,35,59.25,0.0
