comentario,Agresividad,Ofensa,Ideología,Constructividad,Empatía,Diálogo,Total,Catg
Capitán Lara les dice sus verdades a los corruptos,35,30,80,40,35,40,51.25,0.0
Igual ganará el capitán Lara,25,20,65,45,40,45,42.5,0.0
Firmará después de las elecciones!,30,25,70,40,35,40,47.5,0.0
TUTO PRESIDENTE !!!,15,10,75,60,55,45,35.0,0.0
No quiere no le rueguen los paceños nos encargamos de juzgar,50,55,75,25,20,30,64.75,0.0
No es obligatorio firmar...,25,20,65,45,40,45,42.5,0.0
"Que va a firmar la víbora 🐍 bocona, este Pitbull necesita un bozal!!",65,70,75,15,10,20,75.5,-1.0
"No es obligatorio, y no hay ley que diga obligación",30,25,65,45,40,45,44.75,0.0
"Que va a firmar, no lo hará porque quiere seguir haciendo guerra sucia.",55,60,80,25,20,30,67.75,-1.0
"Que no va firmar, no tiene palabra",50,55,75,25,20,30,64.75,0.0
Como Boliviano de oro... lo hará cuando se le pegue la gana.. a última hora 😅😅😅,45,40,70,30,25,35,57.75,0.0
No lo hará el Lari,50,55,75,25,20,30,64.75,0.0
ES CON J.P. VELASCO,20,15,75,50,45,40,40.75,0.0
No le da la gana asi de simple,40,35,70,35,30,40,53.5,0.0
Una firma no cambia nada 🤣🤣🤣🤣sigue la guerra sucia de Tuto hacia su rival y tuto y JP firmaron,45,40,75,30,25,35,58.5,0.0
0:00 / 1:01,10,5,65,40,35,35,38.25,0.0
Quiere hacerse el mártir como hacia evo,50,55,80,25,20,30,65.5,0.0
"Le emputa firmar ese acuerdo,😆😆🤣🤣🤣",55,60,75,20,15,25,69.0,-1.0
Pero ya firmo Jaimito no jodan,40,35,70,35,30,40,53.5,0.0
Los caballos de Troya deben pedir al jefe socialista permiso así será cuando lleguen aser gobierno primero to ban a c… Ver más,50,45,85,30,25,35,62.25,0.0
Para que firmar si el Quico no respeta,45,40,75,30,25,35,58.5,0.0
Ah ! Por un momento pensé q decía la güera sucia,40,35,65,30,25,35,54.75,0.0
