comentario,Agresividad,Ofensa,Ideología,Constructividad,Empatía,Diálogo,Total,Catg
"Gran Persona señor Tuto Quiroga 👏🏻👏🏻👏🏻👏🏻👏🏻👏🏻👏🏻👏🏻 lastimosamente Bolivia escogió su propia inestabilidad, el dólar 💲 sigue subi… Ver más",25,20,80,50,65,45,41.25,0.0
"Que hermosas palabras querido Tuto tu don de persona buena, siempre nos reconforta, y nos enorgullece, muchas gracias por p… Ver más",15,10,75,55,80,50,33.0,1.0
"TUTO USTED HIZO LO MEJOR QUE PUDO PARA CAMBIAR BOLIVIA. SIENTA PENA POR LA GENTE IGNORANTE QUE SE DEJO CONVENCER POR UNOS BONO… Ver más""",35,40,85,40,55,35,52.5,0.0
"Ahora nos toca exigir, exigir, exigir y exigir lo que prometieron ...!!TUTO GRACIAS!!",30,25,80,45,60,40,45.5,0.0
También nuestro corazón amado Tuto eras nuestra salvación ❤️💙🤍😭😭,20,15,75,40,75,45,39.25,0.0
"Mis respetos sr. Tuto, tuvo muchas ideas para salvar a nuestro País, siga delante",20,15,80,50,65,50,38.5,0.0
"Jesucristo es el único que salva, nos toca trabajar todos juntos y seremos bendecidos eso lo afirmó con seguridad, a Dios oran… Ver más",15,10,70,55,70,55,32.75,1.0
De muchos Tuto 🤧,20,15,75,45,70,40,39.25,0.0
De todos los Bolivianos pensantes q queremos esta patria 😢,25,20,80,40,65,45,43.25,0.0
"Las personas que realmente pensaron en un país libre y con futuro para nuestros hijos y para nuestros padres votamos por tuto… Ver más""",25,20,85,45,60,40,44.0,0.0
"¡Gracias, Tuto! Te seguiré votando una y mil veces. 🫡🇧🇴",15,10,80,50,70,45,36.25,0.0
"Paciencia señor Quiroga, UD, era nuestra esperanza pero ganó la maldad disfrazada",30,35,85,35,55,35,51.25,0.0
"De mi también, eras nuestra única esperanza 😔😔😔",20,15,80,40,75,40,40.5,0.0
"Mi respecto para usted mi estimado tuto y q hermosa palabras tú eres una buena persona me enorgullece felicitarte X pensar s… Ver más""",15,10,75,50,75,50,34.5,0.0
"QUERIDO TUTO TE HEMOS DEFRAUDADO Y NOS HEMOS DEFRAUDADO, NO SUPIMOS APROVECHAR TODO LO BUENO QUE PODIAMOS HABER LOGRADO CONTIG… Ver más",25,20,85,45,65,40,43.5,0.0
"TODO UN CABALLERO, MERECÍA SER NUESTRO PRESIDENTE, DIOS LO PROTEJA A USTED Y TODA SU FAMILIA",15,10,80,50,75,45,35.75,0.0
"Excelente persona 👏 con valores humanos 👏 eso lo más importante, cosas malas siempre pasan para bien, sólo confiar plenamente … Ver más",20,15,75,55,70,50,36.25,0.0
"Ud pudo cambiar el sistema en nuestro país tuto Quiroga,pero los corruptos siempre están de por Medio, se dejan comprar por un… Ver más",30,35,85,40,55,35,50.25,0.0
Las versiones del MAS son infinitas como las matrioskas,35,30,85,35,40,30,53.5,0.0
Ganó la democracia..este es un entreguistas profesional.,40,45,80,25,30,25,60.5,0.0
