comentario,Agresividad,Ofensa,Ideología,Constructividad,Empatía,Diálogo,Total,Catg
"Tuto, mucho más visionario con respecto al desarrollo de las regiones del país; conoce a fondo las potencialidades de cada reg… Ver más",25,20,80,55,50,45,41.75,0.0
Tuto presidente.✅,15,10,75,60,55,45,35.0,0.0
Miraron la astilla en ojo ajeno y no la viga que tienen en su flia.,45,40,70,30,25,35,57.75,0.0
Tiene miedo 😁,40,35,70,35,30,40,53.5,0.0
Parece que se enojó🤣🤣,35,30,65,40,35,45,48.5,0.0
Bien 👌 así se habla !!! Ovio Tuto siempre preparado eso nadie se lo quita !!!,20,15,75,55,50,40,39.25,0.0
Tuto Presidente,15,10,75,60,55,45,35.0,0.0
Lara lo arruinó a Rodrigo 😅 como siempre 😃😃,40,35,70,35,30,40,53.5,0.0
VOTO INTELIGENTE TUTO PRESIDENTE 🇧🇴👍🏽🙏,20,15,80,55,50,45,39.5,0.0
Bien señor tuto presidente bendiciones,15,10,75,60,55,45,35.0,0.0
Tuto Presidente,15,10,75,60,55,45,35.0,0.0
Como puede comparar algo de 30 años atrás donde el mismo fue gobierno con algo q paso recién,35,30,70,40,35,45,49.25,0.0
Grave la denuncia pero si esta ejecutoriado quiere decir que fue totalmente real y q el suegro escape este año aprincipios lo … Ver más,40,35,75,35,30,40,54.25,0.0
Bien Tuto!,20,15,75,55,50,40,39.25,0.0
"Nuestro Señor Jesucristo nos enseñó: ""el que no tiene pecado, tire la piedra"". ¡Cuánta verdad hay en estas palabras! Las piedr… Ver más",25,20,65,50,55,50,39.5,0.0
ESSSSO MI FUTURO PRÉSIDENTE TUTO QUIROGA Y JUAN PABLO VELASCO 💪💪,20,15,80,55,50,45,39.5,0.0
RODRIGO PAZ PRESIDENTE 💪💪💪🇧🇴 🇧🇴🇧🇴,20,15,65,55,50,40,37.75,0.0
Muy bien dicho señor Jorge Quiroga yo creo que mucha gente me incluyo nos dimos cuenta al ver el debate que ese par del PDC … Ver más,25,20,75,50,45,40,43.0,0.0
Tuto Presidente,15,10,75,60,55,45,35.0,0.0
Esooooo bien Tuto,20,15,75,55,50,40,39.25,0.0
TUTO PRESIDENTE,15,10,75,60,55,45,35.0,0.0
Tuto Presidente,15,10,75,60,55,45,35.0,0.0
La desesperación le esta torturando,40,35,70,35,30,40,53.5,0.0
Bien dicho,25,20,70,50,45,40,42.25,0.0
PAZ PRESIDENTE,15,10,65,60,55,45,33.5,0.0
Vamos tuto presidente de Bolivia 🇧🇴🇧🇴🇧🇴💪💪🙏🙏👏👏,15,10,75,60,55,45,35.0,0.0
Bien tiraooooo,25,20,75,50,45,40,43.0,0.0
VAMOS BOLIVIAAAA CON TUTO PRESIDENTE.,20,15,80,55,50,45,39.5,0.0
Tuto presidente 🇬🇭🇬🇭🇬🇭🇬🇭,15,10,75,60,55,45,35.0,0.0
Tuto en su maxima expresion de nerviosismo,35,30,70,40,35,45,49.25,0.0
"""El que este libre de culpa, que tire la primera piedra"". Lara, escuchó mal, y empezó a apedrear a JP😉😆😅Él que dice lo que qui… Ver más",30,25,70,45,40,40,46.0,0.0
A este paso hasta Lara va votar por tuto,35,30,75,40,35,45,50.0,0.0
Bien 👍 Tuto presidente ..,20,15,75,55,50,40,39.25,0.0
Tuto presidente,15,10,75,60,55,45,35.0,0.0
Bien Tuto. Esa es la actitud,25,20,75,50,45,40,43.0,0.0
"Parece que el domingo 19, en lug… Ver más",30,25,70,45,40,45,45.5,0.0
Todos los que Dicen Tuto presidente ...háganse un hijo y vayanse del país... Cuando uno es exitoso ... Es exitoso en todo el m… Ver más,55,50,75,25,20,30,65.0,0.0
Kikin se descontroló,40,35,70,35,30,40,53.5,0.0
Es un sinvergüenza todavía quiere debatir q vaya a debatir a los estados unidos aparte q baya a debatir con evo por q le ayudo a escapar del paiz,65,70,80,15,10,20,76.25,-1.0
Si que está desesperado por gobernar este corrupto,60,65,75,20,15,25,71.25,-1.0
Por culpa de paco todo esto va pasar Lara chismoso,55,60,75,25,20,30,67.0,-1.0
"Bien dicho Tuto, ahora salí Rodrigo Más ofendido claro no le gusto que le digan la verdad de su entorno.",35,30,75,40,35,40,50.5,0.0
Su vicepresidente que debata sobre Bancos quebrados que en eso debe ser un master,40,35,70,35,30,40,53.5,0.0
Espera el 19 DE OCTUBRE Y LUEGO TE VAS A EE UU,50,55,75,25,20,30,64.75,0.0
"¡Exacto! Ese Lari infeliz viene con papelitos en pleno debate, lo cual fue la estrategia de estos para bajonear a JP, pero cua… Ver más",45,40,75,35,30,40,56.5,0.0
Este sr Tuto QUIROGA esta involucrado con el Banco Fassil JPVelasco le pago a Tuto para ser candidato y tapar todo el desfalc… Ver más,60,55,80,20,15,25,70.0,-1.0
"No quiere , ninguno suda agua bendita y el payaso de Lara comienza a hablar , bueno t… Ver más",50,55,70,25,20,30,64.0,0.0
Tuto tu mente de 30 años estaba en silencio acaso o eres cómplice solo dices cuanto te conviene,45,40,75,30,25,35,58.5,0.0
Que sinvergüenza.,55,60,70,20,15,25,68.25,-1.0
"Bien tirado! Ahora salió llorando haciéndose la víctima el Rodrigo Paz. Y no solo hablar de su suegro, sino del narco de su padre!",40,35,75,35,30,40,54.25,0.0
Bienn Tuto ! Tienen que entender que se debe debatir con altura ! Sin agresiones ! Propuestas para un futuro mejor ! No insult… Ver más,25,20,70,55,50,45,40.25,0.0
