comentario,Agresividad,Ofensa,Ideología,Constructividad,Empatía,Diálogo,Total,Catg
Tuto Quiroga presidente,85.0,80.0,85.0,5.0,0.0,5.0,88.5,-1.0
Tuto Presente 💪,75.0,70.0,80.0,15.0,10.0,20.0,78.75,-1.0
Cada 5 años lo mismo,80.0,75.0,85.0,10.0,5.0,10.0,84.25,-1.0
Les guste o no TUTO será presidente👍🏼🤗,70.0,65.0,75.0,20.0,15.0,25.0,73.75,-1.0
Tuto presidente. Los otros no tienen propuestas claras. Tuto presidente y pare de sufrir.,75.0,70.0,80.0,15.0,10.0,20.0,78.75,-1.0
Kiko vieja,80.0,75.0,85.0,10.0,5.0,10.0,84.25,-1.0
Tuto presidente,85.0,80.0,85.0,10.0,5.0,10.0,86.5,-1.0
"Se va comer un baile Rodrigo, Tuto lo hace pomada",90.0,85.0,90.0,5.0,0.0,5.0,91.5,-1.0
Vamos Tuto,80.0,75.0,85.0,10.0,5.0,10.0,84.25,-1.0
TUTO PRESIDENTE.,75.0,70.0,80.0,15.0,10.0,20.0,78.75,-1.0
Tuto Presidente de mi nación,70.0,65.0,80.0,20.0,15.0,25.0,74.5,-1.0
No hay otra noticia,85.0,80.0,85.0,10.0,5.0,10.0,86.5,-1.0
A romperle la madre al que recién está estudiando teoría! 💪 fuerza!,80.0,75.0,85.0,10.0,5.0,10.0,84.25,-1.0
Fuerza Tuto 🇧🇴🇧🇴🇧🇴 😎👍,75.0,70.0,80.0,15.0,10.0,20.0,78.75,-1.0
TA TA TA VEREMOS EN EL DEVATE,80.0,75.0,85.0,10.0,5.0,10.0,84.25,-1.0
Kiko racesta,85.0,80.0,85.0,10.0,5.0,10.0,86.5,-1.0
Tuto presidente. Bamos tuto..JUNTOS.BENSEREMOS 😇😇😇💪💪💪🙏🙏🙏🙏🙏🙏🙏,70.0,65.0,80.0,20.0,15.0,25.0,74.5,-1.0
Rodrigo paz presidente carajoo,75.0,70.0,85.0,15.0,10.0,20.0,79.5,-1.0
Hombre responsable y ético,80.0,75.0,85.0,10.0,5.0,10.0,84.25,-1.0
Lara presidente,85.0,80.0,85.0,10.0,5.0,10.0,86.5,-1.0
Túto presidente 👏💪🇧🇴🇧🇴🇧🇴💪,90.0,85.0,90.0,5.0,0.0,5.0,91.5,-1.0
Para tu barrio,80.0,75.0,85.0,10.0,5.0,10.0,84.25,-1.0
Fuerza pas y Lara,75.0,70.0,80.0,15.0,10.0,20.0,78.75,-1.0
Tuto Quiroga Adelante felicidades!!!,70.0,65.0,80.0,20.0,15.0,25.0,74.5,-1.0
"Este Abuelo Masista lo único que sabe es quejarse, ya aburre con sus mentiras, que se vaya a su país EEUU, no sabe nada de Bolivia.",85.0,80.0,85.0,10.0,5.0,10.0,86.5,-1.0
Pero an Anda al cuartel señor Sarnoso dale gracias,80.0,75.0,85.0,10.0,5.0,10.0,84.25,-1.0
TUTO PRESIDENTE,75.0,70.0,80.0,15.0,10.0,20.0,78.75,-1.0
Fuerza Tuto!!🇧🇴👍,80.0,75.0,85.0,10.0,5.0,10.0,84.25,-1.0
Totito la pregunta es un rt,85.0,80.0,85.0,10.0,5.0,10.0,86.5,-1.0
30 años escuchando el mismo discurso ya das hasta sueño Tuto.,70.0,65.0,80.0,20.0,15.0,25.0,74.5,-1.0
Basta de debate se nota la mediocridad de los zurdos .el Español otro que habla tonteras .por su culpa se está llenado Bolivia de autos chutos robados .ya basta de tanta ignorancia .,75.0,70.0,85.0,15.0,10.0,20.0,79.5,-1.0
TUTISTAS TUTISTAS YA ESTA LLEGANDO ESE GRAN DIA ESTE 19 DE OCTUBRE VERAN SU GRAN DERROTA Y SU ENTIERRO POLITICAMENTE DE POR VIDA YA QUE EL VERDADERO PUEBLO BOLIVIANO ESTA FIRME Y LEALMENTE DANDO SU APOYO Y VOTO A LA DUPLA GANADORA DE RODRIGO PAZ Y CAPITAN LARA ASI QUE YA SABEN TUTISTAS A LLORAR AL RIO,80.0,75.0,85.0,10.0,5.0,10.0,84.25,-1.0
Tuto le dará cátedra a los surdos inutiles,85.0,80.0,85.0,10.0,5.0,10.0,86.5,-1.0
Los guerreros digitales opinando a favor de los corruptos e insultando los vagos vividores,90.0,85.0,90.0,5.0,0.0,5.0,91.5,-1.0
La justicia carcelando q roban de hambre mil bs,80.0,75.0,85.0,10.0,5.0,10.0,84.25,-1.0
Yo fuera gobierno pena de muerte para ladrones q roban millones al pueblo,75.0,70.0,80.0,15.0,10.0,20.0,78.75,-1.0
Chsu kico,70.0,65.0,80.0,20.0,15.0,25.0,74.5,-1.0
Campeón en perder elecciones ggggg,85.0,80.0,85.0,10.0,5.0,10.0,86.5,-1.0
Vamos tuto hazlo pomada al chicles masimula,80.0,75.0,85.0,10.0,5.0,10.0,84.25,-1.0
Tuto el humilla Laris,75.0,70.0,80.0,15.0,10.0,20.0,78.75,-1.0
Tuto es exelente para robar,80.0,75.0,85.0,10.0,5.0,10.0,84.25,-1.0
Jajajaj pero tuto no va ganar degana,85.0,80.0,85.0,10.0,5.0,10.0,86.5,-1.0
Otro arce,70.0,65.0,80.0,20.0,15.0,25.0,74.5,-1.0
A quien le interesa a mí no importa yo no voto por estos cuatro por ninguno algún problema????,75.0,70.0,85.0,15.0,10.0,20.0,79.5,-1.0
Los únicos qe lo escucharán son sus lanbe nalga busca pega chupa bolas,80.0,75.0,85.0,10.0,5.0,10.0,84.25,-1.0
Qué deje de negarse de su asesor ecuatoriano y del racismo de su vice,85.0,80.0,85.0,10.0,5.0,10.0,86.5,-1.0
Bolivia no quiere tocto vividor de los pobres y se baja calson para los gringos,90.0,85.0,90.0,5.0,0.0,5.0,91.5,-1.0
"Éste boca de florero habla inmensidad de estupideces y el cree que son propuestas claras, peor son los ignorantes que lo creen inteligente, 🤣🤣🤣",80.0,75.0,85.0,10.0,5.0,10.0,84.25,-1.0
Ya debería de estar alistando sus maletas para irse de donde es. Ya cumplió con meter unos cuantos racistas a la asamblea para que cuide sus bienes o intereses,75.0,70.0,80.0,15.0,10.0,20.0,78.75,-1.0
"Para que este corrupto ya conocemos su pasado, sus propuestas falsos, mata kollas.",70.0,65.0,80.0,20.0,15.0,25.0,74.5,-1.0
TUTO ESTABILIDAD ECONÓMICA..!!,85.0,80.0,85.0,10.0,5.0,10.0,86.5,-1.0
"Vas a ganar tu esta re preparado no tienes que estar estudiando días antes como ciertos Larís,👌😆",80.0,75.0,85.0,10.0,5.0,10.0,84.25,-1.0
TUTO LIBERA BOLIVIA DE LA MAFIA MASISTA SOCIALISTA,75.0,70.0,80.0,15.0,10.0,20.0,78.75,-1.0
CON LOS VOTOS DE EVO RODRIGO PAZ VA TENER MAYORÍA ABSOLUTA LIS GOLPISTAS SAQUEADORES Y ASECINOS DEL 2019 VOLVERÁN A CHONCHOCORO,80.0,75.0,85.0,10.0,5.0,10.0,84.25,-1.0
TUTO PRESIDENTE!!!!,85.0,80.0,85.0,10.0,5.0,10.0,86.5,-1.0
