palabra_1,palabra_2,palabra_3,palabra_4,palabra_5,palabra_6,palabra_7,palabra_8,palabra_9,palabra_10,palabra_11,palabra_12,palabra_13,palabra_14,palabra_15,palabra_16,palabra_17,palabra_18,palabra_19,palabra_20,palabra_21,palabra_22,palabra_23,palabra_24,palabra_25,palabra_26,palabra_27,palabra_28,palabra_29,palabra_30,palabra_31,palabra_32,palabra_33,palabra_34,palabra_35,palabra_36,palabra_37,palabra_38,palabra_39,palabra_40,palabra_41,palabra_42,palabra_43,palabra_44,palabra_45,palabra_46,palabra_47,palabra_48,palabra_49,palabra_50,palabra_51,palabra_52,palabra_53,palabra_54,palabra_55,palabra_56,palabra_57,palabra_58,palabra_59,palabra_60,palabra_61,palabra_62,palabra_63,palabra_64,palabra_65,palabra_66,palabra_67,palabra_68,palabra_69,palabra_70,palabra_71,palabra_72,palabra_73,palabra_74,palabra_75,palabra_76,palabra_77,palabra_78,palabra_79,palabra_80,palabra_81,palabra_82,palabra_83,palabra_84,palabra_85,palabra_86,palabra_87,palabra_88,palabra_89,palabra_90,palabra_91,palabra_92,palabra_93,palabra_94,palabra_95,palabra_96,palabra_97,palabra_98,palabra_99,palabra_100,palabra_101,palabra_102,palabra_103,palabra_104,palabra_105,palabra_106,palabra_107,palabra_108,palabra_109,palabra_110,palabra_111,palabra_112,palabra_113,palabra_114,palabra_115,palabra_116,palabra_117,palabra_118,palabra_119,palabra_120,palabra_121,palabra_122,palabra_123,palabra_124,palabra_125,palabra_126,palabra_127,palabra_128,palabra_129,palabra_130,palabra_131,palabra_132,palabra_133,palabra_134,palabra_135,palabra_136,palabra_137,palabra_138,palabra_139,palabra_140,palabra_141,palabra_142,palabra_143,palabra_144
pónganse,de,acuerdo,binomio,rodrigo,maz,ex,capitán,edman,lacra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
en,otras,palabras,quiere,amordazar,la,prensa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lo,que,hay,que,replantear,es,el,apoyo,en,la,segunda,vuelta,a,su,binomio,don,rodrigo,su,vice,está,enfermo,de,odio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
que,plante,su,declinación,mejor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
huele,a,controlar,a,la,prensasus,declaraciones,del,candidato,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
k,salga,pomacusi,a,defenderlos,a,los,masistas,lara,lari,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rodrigo,paz,parece,ya,sirvienta,de,lara,ahora,atacan,a,la,prensa,como,nicolás,maduro,o,como,hugo,chavez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sean,respetuosos,con,todos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
este,parece,peor,que,el,lari,le,ponen,un,bosal,y,van,a,ver,cuanto,es,el,cambio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no,ha,nada,que,replantear,es,un,vozal,para,el,maiburrlara,pdc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
