comentario,Agresividad,Ofensa,Ideología,Constructividad,Empatía,Diálogo,Total,Catg
Luigi David Cuyati este cha.nch0 en bolaynas,80.0,90.0,5.0,0.0,5.0,0.0,78.25,-1.0
Luigi David Cuyati en tonces va pedir fiado.😭😭😭,80.0,90.0,5.0,0.0,5.0,0.0,78.25,-1.0
Luigi David Cuyati si un político te dice que no va a sacar préstamos te está mintiendo en la cara 🤣🤣 xq si lo va a hacer,80.0,90.0,5.0,0.0,5.0,0.0,78.25,-1.0
Alvaro Cuellar Caceres exacta porque habia dicho que no iba hacer prestamos porque según plata habia si nadie roba la plata an… Ver más,90.0,85.0,5.0,20.0,10.0,5.0,74.75,-1.0
Luigi David Cuyati estás en bolas gil,90.0,90.0,5.0,0.0,5.0,0.0,80.75,-1.0
Joselito Tomicha Eguez ni un mástil con millones no pudo acabar 🤡🤣🤣,90.0,90.0,5.0,0.0,5.0,0.0,80.75,-1.0
Joselito Tomicha Eguez,5.0,5.0,5.0,5.0,5.0,5.0,41.0,0.0
Joselito Tomicha Eguez.. Igual Vamos apoyar... Tuto es peór Cantidato Chango no lo conocen...,5.0,5.0,5.0,5.0,5.0,5.0,41.0,0.0
"Joselito Tomicha Eguez eso q vaya a informar, y también informe el desastre de su Gestión en la Alcaldía de Tarija..",80.0,85.0,5.0,0.0,0.0,0.0,77.75,-1.0
"Jajajaja, se acuerdan cuando criticó a Tuto por ir a EE.UU.? Jajaja, tal cual a falta de propuestas claras, hace un copy paste… Ver más",80.0,85.0,5.0,0.0,0.0,0.0,77.75,-1.0
Oliver Cristian Terrazas Cossío Tras los pasos del Maestro.… Ver más,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0
"GRACIAS A DIOS HAY SEGUNDA VUELTA PARA SUBSANAR EL ERROR QUE COMETIMOS EN PRIMERA VUELTA, VOTAR POR PAZ Y LARA FUE PARA DESCUBRIR EL VERDADERO ROSTRO DE ESTOS SOCIALISTAS CAMUFLADOS.",90.0,90.0,80.0,0.0,0.0,0.0,92.5,-1.0
Y llevará a Lara de traductor ??,80.0,85.0,80.0,0.0,0.0,0.0,89.0,-1.0
Muñe Valenzuela no estás apurado..para que vaya y le pregunté 🤣,5.0,5.0,5.0,5.0,5.0,5.0,41.0,0.0
Luigi David Cuyati arraigado aunque se muera por ir ps jajaja 🤡,80.0,90.0,5.0,0.0,5.0,0.0,78.25,-1.0
"Muñe Valenzuela que vaya a presentar su plan de gobierno a Cuba , Venezuela, Iran a todos los países socialistas",80.0,90.0,5.0,0.0,0.0,0.0,78.75,-1.0
"Muñe Valenzuela lo llevará a Lara de garante 😂😂y dirá que después firmará, cuando vaya en otra oportunidad por allá 🤡",80.0,90.0,5.0,0.0,5.0,0.0,78.25,-1.0
No creo que le den ni Bs 0.50 por su garantia,90.0,90.0,5.0,0.0,0.0,0.0,81.25,-1.0
Muñe Valenzuela según escuche por la boca de Lara Tiene mandamiento de apremio. Dijo que no puede salir del país.,80.0,90.0,5.0,0.0,0.0,0.0,78.75,-1.0
"Muñe Valenzuela ese Lariasno no sabe ni donde está parado,🤣🤣🤣",80.0,90.0,5.0,0.0,5.0,0.0,78.25,-1.0
Isabel Veronica Duran peor la qe opina esta en pañales,90.0,90.0,5.0,0.0,0.0,0.0,81.25,-1.0
Muñe Valenzuela 🤣🤣🤣🤣🤣,90.0,90.0,5.0,0.0,0.0,0.0,81.25,-1.0
Muñe Valenzuela no puede está arraigado 👎🤣,80.0,90.0,5.0,0.0,5.0,0.0,78.25,-1.0
Muñe Valenzuela 😂😂😂😂🤣🤣🤣,80.0,90.0,5.0,0.0,0.0,0.0,78.75,-1.0
Les vas a decir que queres nacionalizar autos chutos?,90.0,90.0,5.0,0.0,0.0,0.0,81.25,-1.0
Yushara Pérez Parada obvio que otra propuesta puede tener,90.0,90.0,5.0,0.0,0.0,0.0,81.25,-1.0
Vikthor Chávez bono de 2000🤦🏻‍♂️🤣🤣🤣🤣,5.0,5.0,0.0,0.0,0.0,0.0,42.25,0.0
Yushara Pérez Parada j😂😂😂,90.0,90.0,5.0,0.0,0.0,0.0,81.25,-1.0
Y eso no se llama privatización como creen que le aceptar su propuesta si no tiene un plan de gobierno y son buenos para criticar por eso los bolivianos no debemos equivocarnos vota por Tuto presidente,90.0,90.0,5.0,0.0,0.0,0.0,81.25,-1.0
Paz y Lara 💪💪,90.0,5.0,90.0,0.0,0.0,0.0,77.0,-1.0
Tuto nuestro presidente,0.0,0.0,70.0,10.0,80.0,5.0,40.0,0.0
Vergüenza ajena son Paz y Lara si ni él mismo conoce su plan de gobierno ……,30.0,80.0,90.0,10.0,5.0,0.0,74.5,-1.0
No saben ni su programa va hacer otro papelón vaya como Rodrigo no como bolivia por favor,30.0,80.0,90.0,10.0,5.0,0.0,74.5,-1.0
Dentro su plan de gobierno nacionalizar autos truchos que les parecerá a los gringos,30.0,80.0,90.0,10.0,50.0,10.0,69.0,-1.0
"Gonzalo Antezana Ferrufino no les inspirará confianza, con esas propuestas inalcanzable",10.0,20.0,10.0,5.0,10.0,0.0,46.0,0.0
Tuto presidente,0.0,0.0,80.0,5.0,70.0,0.0,44.0,0.0
Y luego sus seguidores critican a Tuto....en fin la hipocresía 🤦🏻🤦🏻,10.0,20.0,10.0,5.0,10.0,0.0,46.0,0.0
Tuto presidente de 🇧🇴,0.0,0.0,70.0,5.0,10.0,0.0,48.5,0.0
no le crean a ese tipo...,30.0,80.0,90.0,0.0,5.0,0.0,76.5,-1.0
Coméntale en estados unidos que tu ayuco es un desenchufado don Rodrigo,30.0,80.0,10.0,0.0,0.0,0.0,65.0,0.0
Contame una de vaqueros,10.0,20.0,10.0,5.0,10.0,0.0,46.0,0.0
Pero si ellos después están culpando a los Yankees de todo 🥱🤔,10.0,20.0,20.0,5.0,10.0,0.0,47.5,0.0
"Debería hacerlo en vivo, eso sería todo un espectáculo, ya que ni sabe que está escrito en su plan de gobierno 🤷",0.0,80.0,0.0,10.0,5.0,0.0,53.5,0.0
No tiene la mínima p.. Idea de como hacer un plan económico para el país,30.0,80.0,10.0,0.0,5.0,0.0,64.5,0.0
