comentario,Agresividad,Ofensa,Ideología,Constructividad,Empatía,Diálogo,Total,Catg
Si lo acompaña ese famoso Lara está jodido,90.0,85.0,10.0,5.0,5.0,10.0,78.5,-1.0
"No sabes nada de nada, te vas a ir a rrayar como una cebra y los EEUU, seguramente ya sabe de tu ""ineficiencia"" como alcalde Tarija.",90.0,85.0,5.0,5.0,5.0,10.0,77.75,-1.0
Después anda diciendo que gringo no... Quien lo entiende?,90.0,85.0,5.0,5.0,5.0,10.0,77.75,-1.0
Votar por esta clase de personas es botar por EVARISTO 😡😡😡🤮🤮🤮🤮,90.0,85.0,5.0,5.0,5.0,10.0,77.75,-1.0
"El GIF Captain America Lol GIF by mtv puede contener , funny, lol, laugh, laughing, haha, lmao, captain america, laughter, chris evans, hahaha, lmfao, rofl, risas, hysterical, cracking up, lolol, hehehehe, wkwkwk, wkwkwkw, dying laughing, busting up, lmaooo, laughing hysterically, lmaoo, hysterical laughter, laughing man y hard laughing",10.0,10.0,5.0,5.0,5.0,10.0,42.75,0.0
Si. Vas. EE. U U. Asete. Aumentar. Oxigeno. A. Tú. Cerebro. Jajajaaaa. !!!,90.0,85.0,5.0,5.0,5.0,10.0,77.75,-1.0
Mínimo. Donald Trump🇺🇸 le va sacar a patadas por que él No Negocio con Zurdos.,90.0,85.0,5.0,5.0,5.0,10.0,77.75,-1.0
Va ir a pedir ayuda a los gringos ??🤣🤣🤣🤣pobresito v9lvera sin respuestas los gringos no apoyan a los socialistas que pena por este copion,90.0,85.0,5.0,5.0,5.0,10.0,77.75,-1.0
NECESITA APROBACION?… Ver más,90.0,85.0,5.0,5.0,5.0,10.0,77.75,-1.0
"EE.UU Está en decadencia, piensen en el futuro y únanse los BRICS.",30.0,40.0,80.0,60.0,10.0,10.0,53.5,0.0
Emilce Romero Agreda tu ya estás derrochando #LOS DÓLARES QUE TRAJI TUTO A BOLIVIA?😜🤣🤣🤣,90.0,85.0,5.0,5.0,5.0,10.0,77.75,-1.0
Cuando le digas a los americanos..que vaj a dar bonos ....te van q botar como 🐕,90.0,85.0,5.0,5.0,5.0,10.0,77.75,-1.0
"Aquí la gente trabaja,no vive del Estado,para ir a escuchar a un incapaz",90.0,85.0,5.0,5.0,5.0,10.0,77.75,-1.0
